asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source
wind_existing_cabo_negro,wind_existing,cabo_negro,wind,0,0,1,2.55,0,2025,2025,2025,fixed,TRUE,3,Inherited unchanged from the Punta Arenas case: Pecket Cabo Negro
ocgt_existing_punta_arenas_centro,ocgt_existing,punta_arenas_centro,ocgt,0,,,80,0,2025,2025,2025,fixed,TRUE,1,Inherited unchanged from the simplified Punta Arenas case
thermal_existing_puerto_natales,thermal_existing,puerto_natales,ocgt,0,,,17.575,0,2025,2025,2025,fixed,TRUE,15,Aggregated CNE existing units plus 0.85 MW additions through 2024; verify retirements before publication
thermal_existing_porvenir,thermal_existing,porvenir,ocgt,0,,,13.845,0,2025,2025,2025,fixed,TRUE,14,Aggregated CNE existing units plus 0.965 MW additions through 2023; verify retirements before publication
diesel_existing_puerto_williams,diesel_existing,puerto_williams,diesel,0,,,2.65,0,2025,2025,2025,fixed,TRUE,6,CNE ITD Table 4-38: recognised Edelmag diesel capacity
lpg_existing_puerto_williams,lpg_existing,puerto_williams,lpg,0,,,0.965,0,2025,2025,2025,fixed,TRUE,1,CNE ITD Table 4-38: Inersa GLP capacity after May 2025
