snapshot,gas_boiler_punta_arenas_1,heat_pump_punta_arenas_1,gas_boiler_punta_arenas_2,heat_pump_punta_arenas_2,link_punta_arenas_1_to_punta_arenas_2,link_punta_arenas_2_to_punta_arenas_1,h2_electrolyzer_punta_arenas_2,h2_fuel_cell_punta_arenas_2,h2_turbine_punta_arenas_2,uhs_injection_punta_arenas_2,uhs_withdrawal_punta_arenas_2
2040-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,21.43696875020396,0.0,0.0,0.0,0.0,0.0
2040-01-01 01:00:00,0.0,0.0,0.0,0.0,972.1384843747364,1000.0,0.0,0.0,0.0,0.0,0.0
2040-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,26.1040468752617,0.0,0.0,0.0,0.0,0.0
2040-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,23.83128125022631,0.0,0.0,0.0,0.0,0.0
2040-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,21.91206250025425,0.0,0.0,0.0,0.0,0.0
2040-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,20.40882812521886,0.0,0.0,0.0,0.0,0.0
2040-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,18.348296875250526,0.0,0.0,0.0,0.0,0.0
2040-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,18.565390625270084,0.0,0.0,0.0,0.0,0.0
2040-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,18.607000000192784,0.0,0.0,0.0,0.0,0.0
2040-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,19.076062500244007,0.0,0.0,0.0,0.0,0.0
2040-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,20.253140625194646,0.0,0.0,0.0,0.0,0.0
2040-01-01 11:00:00,0.0,0.0,0.0,0.0,0.0,21.789375000284053,0.0,0.0,0.0,0.0,0.0
2040-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,23.116953125223517,0.0,0.0,0.0,0.0,0.0
2040-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,23.37467187526636,0.0,0.0,0.0,0.0,0.0
2040-01-01 14:00:00,0.0,0.0,0.0,0.0,0.0,23.621875000186265,0.0,0.0,0.0,0.0,0.0
2040-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,23.86417187517509,0.0,0.0,0.0,0.0,0.0
2040-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,23.29629687522538,0.0,0.0,0.0,0.0,0.0
2040-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,22.399921875214204,0.0,0.0,0.0,0.0,0.0
2040-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,22.42853125021793,0.0,0.0,0.0,0.0,0.0
2040-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,23.135875000269152,0.0,0.0,0.0,0.0,0.0
2040-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,23.657218750216998,0.0,0.0,0.0,0.0,0.0
2040-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,25.13112500018906,0.0,0.0,0.0,0.0,0.0
2040-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,28.07643750018906,0.0,0.0,0.0,0.0,0.0
2040-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,31.24388610862661,0.0,0.0,0.0,0.0,0.0
2040-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,29.081462280475534,0.0,0.0,0.0,0.0,0.0
2040-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,25.927666748291813,0.0,0.0,0.0,0.0,0.0
2040-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,23.56259619165212,0.0,0.0,0.0,0.0,0.0
2040-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,22.088389648705004,0.0,0.0,0.0,0.0,0.0
2040-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,20.53736035176553,0.0,0.0,0.0,0.0,0.0
2040-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,19.51739453151822,0.0,0.0,0.0,0.0,0.0
2040-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,19.118904297123663,0.0,0.0,0.0,0.0,0.0
2040-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,21.111583008081652,0.0,0.0,0.0,0.0,0.0
2040-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,25.316264648688957,0.0,0.0,0.0,0.0,0.0
2040-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,29.06303417996969,0.0,0.0,0.0,0.0,0.0
2040-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,31.799073242465965,0.0,0.0,0.0,0.0,0.0
2040-01-02 11:00:00,0.0,0.0,0.0,0.0,0.0,33.90319140651263,0.0,0.0,0.0,0.0,0.0
2040-01-02 12:00:00,0.0,0.0,0.0,0.0,0.0,34.15896093775518,0.0,0.0,0.0,0.0,0.0
2040-01-02 13:00:00,0.0,0.0,0.0,0.0,0.0,35.15618750022268,0.0,0.0,0.0,0.0,0.0
2040-01-02 14:00:00,0.0,0.0,0.0,0.0,0.0,34.485107421875,0.0,0.0,0.0,0.0,0.0
2040-01-02 15:00:00,0.0,0.0,0.0,0.0,0.0,34.66295312519651,0.0,0.0,0.0,0.0,0.0
2040-01-02 16:00:00,0.0,0.0,0.0,0.0,0.0,34.34677929710597,0.0,0.0,0.0,0.0,0.0
2040-01-02 17:00:00,0.0,0.0,0.0,0.0,0.0,33.23501757835038,0.0,0.0,0.0,0.0,0.0
2040-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,32.26444140647072,0.0,0.0,0.0,0.0,0.0
2040-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,32.211703125271015,0.0,0.0,0.0,0.0,0.0
2040-01-02 20:00:00,0.0,0.0,0.0,0.0,0.0,31.770929687772878,0.0,0.0,0.0,0.0,0.0
2040-01-02 21:00:00,0.0,0.0,0.0,0.0,0.0,31.249617187780487,0.0,0.0,0.0,0.0,0.0
2040-01-02 22:00:00,0.0,0.0,0.0,0.0,0.0,32.36663281277288,0.0,0.0,0.0,0.0,0.0
2040-01-02 23:00:00,0.0,0.0,0.0,0.0,0.0,32.57700390648097,0.0,0.0,0.0,0.0,0.0
2040-01-03 00:00:00,0.0,0.0,0.0,0.0,0.0,29.317699218983762,0.0,0.0,0.0,0.0,0.0
2040-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,26.215890625258908,0.0,0.0,0.0,0.0,0.0
2040-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,24.04918359394651,0.0,0.0,0.0,0.0,0.0
2040-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,23.004765625228174,0.0,0.0,0.0,0.0,0.0
2040-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,22.19424218777567,0.0,0.0,0.0,0.0,0.0
2040-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,20.56401171896141,0.0,0.0,0.0,0.0,0.0
2040-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,19.496371094021015,0.0,0.0,0.0,0.0,0.0
2040-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,22.633593750186265,0.0,0.0,0.0,0.0,0.0
2040-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,27.00433984398842,0.0,0.0,0.0,0.0,0.0
2040-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,30.858972656540573,0.0,0.0,0.0,0.0,0.0
2040-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,32.81313281273469,0.0,0.0,0.0,0.0,0.0
2040-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,35.76427343778778,0.0,0.0,0.0,0.0,0.0
2040-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,37.89418750023469,0.0,0.0,0.0,0.0,0.0
2040-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0,38.84273437527008,0.0,0.0,0.0,0.0,0.0
2040-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,38.73580468771979,0.0,0.0,0.0,0.0,0.0
2040-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0,38.47553906275425,0.0,0.0,0.0,0.0,0.0
2040-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,37.771851562778465,0.0,0.0,0.0,0.0,0.0
2040-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,36.289273437694646,0.0,0.0,0.0,0.0,0.0
2040-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,35.97954687522724,0.0,0.0,0.0,0.0,0.0
2040-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,34.21454687521327,0.0,0.0,0.0,0.0,0.0
2040-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,32.76332031271886,0.0,0.0,0.0,0.0,0.0
2040-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,31.913945312728174,0.0,0.0,0.0,0.0,0.0
2040-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,32.35031250026077,0.0,0.0,0.0,0.0,0.0
2040-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,33.35065625025891,0.0,0.0,0.0,0.0,0.0
2040-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,29.83539062528871,0.0,0.0,0.0,0.0,0.0
2040-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,26.974539062706754,0.0,0.0,0.0,0.0,0.0
2040-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,24.57702343771234,0.0,0.0,0.0,0.0,0.0
2040-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,24.1017343752319,0.0,0.0,0.0,0.0,0.0
2040-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,22.483046875218882,0.0,0.0,0.0,0.0,0.0
2040-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,20.706218750216067,0.0,0.0,0.0,0.0,0.0
2040-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,20.539179687737487,0.0,0.0,0.0,0.0,0.0
2040-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0,23.082820312702097,0.0,0.0,0.0,0.0,0.0
2040-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0,27.357460937695578,0.0,0.0,0.0,0.0,0.0
2040-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0,31.515859375242144,0.0,0.0,0.0,0.0,0.0
2040-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0,35.61051562521607,0.0,0.0,0.0,0.0,0.0
2040-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0,37.55356250028126,0.0,0.0,0.0,0.0,0.0
2040-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0,38.15046093775891,0.0,0.0,0.0,0.0,0.0
2040-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0,39.32867187517695,0.0,0.0,0.0,0.0,0.0
2040-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0,38.07424218778033,0.0,0.0,0.0,0.0,0.0
2040-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0,38.52645312529057,0.0,0.0,0.0,0.0,0.0
2040-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0,38.37216406268999,0.0,0.0,0.0,0.0,0.0
2040-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0,37.76081250025891,0.0,0.0,0.0,0.0,0.0
2040-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0,36.93323437520303,0.0,0.0,0.0,0.0,0.0
2040-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0,37.349496216047555,0.0,0.0,0.0,0.0,0.0
2040-01-04 20:00:00,0.0,0.0,0.0,0.0,0.0,36.328317260951735,0.0,0.0,0.0,0.0,0.0
2040-01-04 21:00:00,0.0,0.0,0.0,0.0,0.0,34.17271875019651,0.0,0.0,0.0,0.0,0.0
2040-01-04 22:00:00,0.0,0.0,0.0,0.0,0.0,35.10787304711994,0.0,0.0,0.0,0.0,0.0
2040-01-04 23:00:00,0.0,0.0,0.0,0.0,0.0,34.8084335939493,0.0,0.0,0.0,0.0,0.0
2040-01-05 00:00:00,0.0,0.0,0.0,0.0,0.0,30.70338281278964,0.0,0.0,0.0,0.0,0.0
2040-01-05 01:00:00,0.0,0.0,0.0,0.0,0.0,26.93468359403778,0.0,0.0,0.0,0.0,0.0
2040-01-05 02:00:00,0.0,0.0,0.0,0.0,0.0,24.377040039282292,0.0,0.0,0.0,0.0,0.0
