asset_id,from_zone,to_zone,capacity_mw,loss_fraction,expandable,discrete_expansion,module_capacity_mw,min_modules,max_modules,max_capacity_mw,capital_cost,marginal_cost,p_min_pu,bidirectional,enabled,source
planta_sjb_to_san_juan_bautista_existing,planta_electrica_sjb,san_juan_bautista,0.88,0.02,FALSE,FALSE,,0,0,0.88,0,0,0,FALSE,TRUE,Generation capacity used as a corridor proxy; 2 percent distribution loss is a planning assumption
planta_sjb_to_san_juan_bautista_expansion,planta_electrica_sjb,san_juan_bautista,0,0.02,TRUE,TRUE,0.25,0,4,1,80000,0,0,FALSE,TRUE,Planning assumption for modular medium-voltage expansion
