asset_id,asset_type,zone,technology,installed_capacity_mw,installed_energy_mwh,p_nom_max_mw,e_nom_max_mwh,capital_cost,marginal_cost,efficiency,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count
h2_electrolyzer_planta_sjb,electrolyzer,planta_electrica_sjb,electrolyzer,0,,1,,90000,0,0.70,,2030,2030,,flexible,TRUE,1
h2_surface_tank_planta_sjb,h2_store_tank,planta_electrica_sjb,hydrogen_storage,,0,,100,2500,0,,0.0,2030,2030,,flexible,TRUE,1
h2_fuel_cell_planta_sjb,h2_fuel_cell,planta_electrica_sjb,h2_fuel_cell,0,,1,,100000,0,0.55,,2030,2030,,flexible,TRUE,1
