asset_id,generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,commissioning_year_source,commissioning_year_assumption,enabled,status,plant,plant_slug,tech,tech_name,plant_type,substation,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped,decommissioning_year,decommissioning_year_source
geothermal_bay_of_plenty_taheke_geothermal_project,geothermal,bay_of_plenty,geothermal,7162029.807109,0.0,0.3,35.0,0.0,2030.0,2030.0,,flexible,edgs_earliest_commissioning_year,,True,Applied for consent,Tāheke Geothermal Project,taheke_geothermal_project,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,17.669108,268.340151,1,,
geothermal_bay_of_plenty_taheke_stage_2,geothermal,bay_of_plenty,geothermal,7162029.807109,0.0,0.3,25.0,0.0,2040.0,2040.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Tāheke: Stage 2,taheke_stage_2,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,17.669108,196.719853,1,,
geothermal_bay_of_plenty_taheke_stage_3,geothermal,bay_of_plenty,geothermal,7162029.807109,0.0,0.3,25.0,0.0,2050.0,2050.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Tāheke: Stage 3,taheke_stage_3,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,17.669108,196.719853,1,,
geothermal_bay_of_plenty_te_ahi_o_maui_ka22,geothermal,bay_of_plenty,geothermal,0.0,0.0,0.3,25.0,0.0,,,,existing,edgs_status_current,,True,Current,Te Ahi O Maui (KA22),te_ahi_o_maui_ka22,Geo,Geothermal,PELE,KAW,Bay of Plenty,223.808703,0.0,12000,,,1,,
hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,hydro_storage,bay_of_plenty,hydro_storage,0.0,0.0,1.0,25.3,0.0,,,,existing,edgs_status_current,,True,Current,Bay of Plenty hydro scheme (embedded),bay_of_plenty_hydro_scheme_embedded,HydSC,"Hydro, schedulable",PELE,TGA,Bay of Plenty,153.132623,0.0,3600,,,1,,
hydro_storage_bay_of_plenty_bay_of_plenty_hydro_schemes,hydro_storage,bay_of_plenty,hydro_storage,0.0,0.0,1.0,147.6,0.0,,,,existing,edgs_status_current,,True,Current,Bay of Plenty hydro schemes,bay_of_plenty_hydro_schemes,HydSC,"Hydro, schedulable",PELE,TGA,Bay of Plenty,110.177798,0.0,3600,,,1,,
solar_bay_of_plenty_edgecumbe_solar_farm_fnsf,solar,bay_of_plenty,solar,1158600.869565,0.0,1.0,38.0,0.0,2030.0,2030.0,,flexible,assumed_from_status_fully_consented,2030.0,True,Fully consented,Edgecumbe solar farm (FNSF),edgecumbe_solar_farm_fnsf,Solar,Solar,PELE,EDG,Bay of Plenty,23.558811,0.0,3600,19.01,63.036833,1,,
solar_bay_of_plenty_edgecumbe_solar_helios,solar,bay_of_plenty,solar,1143089.651215,0.0,1.0,115.0,0.0,2025.0,2025.0,,flexible,edgs_earliest_commissioning_year,,True,Fully consented,Edgecumbe solar (Helios),edgecumbe_solar_helios,Solar,Solar,PELE,EDG,Bay of Plenty,23.558811,0.0,3600,25.556179,157.011489,1,,
solar_bay_of_plenty_generic_solar_101_200mw_55,solar,bay_of_plenty,solar,1189817.346087,0.0,1.0,180.0,0.0,2030.0,2030.0,,flexible,edgs_earliest_commissioning_year,,True,Generic,Generic solar (101-200MW): 55,generic_solar_101_200mw_55,Solar,Solar,PELE,TGA,Bay of Plenty,23.558811,0.0,3600,68.51,282.677122,1,,
solar_bay_of_plenty_lodestone_rangitaiki_solar_farm,solar,bay_of_plenty,solar,0.0,0.0,1.0,32.0,0.0,,,,existing,edgs_status_current,,True,Current,Lodestone Rangitaiki solar farm,lodestone_rangitaiki_solar_farm,Solar,Solar,PELE,EDG,Bay of Plenty,23.558811,0.0,3600,,,1,,
