hydrology_year,hour_of_year,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_scheme_embedded,hydro_storage_bay_of_plenty_bay_of_plenty_hydro_schemes,hydro_storage_canterbury_christchurch_hydro_scheme_embedded,hydro_storage_canterbury_coleridge,hydro_storage_canterbury_waitaki_hydro_scheme,hydro_storage_waikato_bunnythorpe_hydro_scheme,hydro_storage_manawatu_whanganui_mangahao,hydro_storage_taranaki_patea,hydro_storage_hawkes_bay_waikaremoana_hydro_scheme,hydro_storage_nelson_cobb,hydro_storage_otago_clyde_and_roxburgh_hydro_scheme,hydro_storage_otago_waipori_power_scheme,hydro_storage_southland_manapouri,hydro_storage_waikato_waikato_river_hydro_scheme,ror_canterbury,ror_marlborough,ror_otago,ror_west_coast
2021,1,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,2,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,3,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,4,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,5,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,6,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,7,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,8,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,9,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
2021,10,13.994996288,81.646697712,13.432975718,20.079647590,1174.774493692,46.805864143,7.000359412,2.150268445,17.569125000,8.189272000,425.455176027,36.279660086,872.031983887,331.238143000,0.638867325,0.214009667,0.555478647,0.214009667
