snapshot,gas_boiler_punta_arenas_1,heat_pump_punta_arenas_1,link_punta_arenas_1_to_punta_arenas_2,link_punta_arenas_2_to_punta_arenas_1,h2_electrolyzer_punta_arenas_2,h2_fuel_cell_punta_arenas_2,h2_turbine_punta_arenas_2,uhs_injection_punta_arenas_2,uhs_withdrawal_punta_arenas_2
2040-01-01 00:00:00,0.0,4.598434559991645,0.0,40.47874886413024,0.0,0.0,0.0,0.0,0.0
2040-01-01 01:00:00,0.0,4.771528587236766,0.0,41.06193831630253,0.0,0.0,0.0,0.0,0.0
2040-01-01 02:00:00,0.0,4.70269964298717,0.0,40.818954635368755,0.0,0.0,0.0,0.0,0.0
2040-01-01 03:00:00,0.0,4.599219134478872,0.0,41.08880985215524,0.0,0.0,0.0,0.0,0.0
2040-01-01 04:00:00,0.0,4.6455786569107005,0.0,40.13702739281621,0.0,0.0,0.0,0.0,0.0
2040-01-01 05:00:00,0.0,4.416442142023605,0.0,39.35625168297315,0.0,0.0,0.0,0.0,0.0
2040-01-01 06:00:00,0.0,4.443895103887627,0.0,38.91555382703564,0.0,0.0,0.0,0.0,0.0
2040-01-01 07:00:00,0.0,4.389829809279789,0.0,37.83290218527168,0.0,0.0,0.0,0.0,0.0
2040-01-01 08:00:00,0.0,4.121008542848919,0.0,36.28152350819323,0.0,0.0,0.0,0.0,0.0
2040-01-01 09:00:00,0.0,4.1008858849182666,0.0,34.72843245312856,0.0,0.0,0.0,0.0,0.0
2040-01-01 10:00:00,0.0,3.98366755859886,0.0,33.61840752587341,0.0,0.0,0.0,0.0,0.0
2040-01-01 11:00:00,0.0,3.8361240480077825,0.0,32.818037618093285,0.0,0.0,0.0,0.0,0.0
2040-01-01 12:00:00,0.0,3.898335949084249,0.0,32.766314451118205,0.0,0.0,0.0,0.0,0.0
2040-01-01 13:00:00,0.0,3.773990529268726,0.0,32.67770100328357,0.0,0.0,0.0,0.0,0.0
2040-01-01 14:00:00,0.0,3.8993109613746775,0.0,32.40195339227466,0.0,0.0,0.0,0.0,0.0
2040-01-01 15:00:00,0.0,4.02887584471307,0.0,32.822424820383276,0.0,0.0,0.0,0.0,0.0
2040-01-01 16:00:00,0.0,4.044848711973575,0.0,34.31786004336345,0.0,0.0,0.0,0.0,0.0
2040-01-01 17:00:00,0.0,4.143947053303297,0.0,33.90555419027419,0.0,0.0,0.0,0.0,0.0
2040-01-01 18:00:00,0.0,4.298086342226899,0.0,36.04302515481777,0.0,0.0,0.0,0.0,0.0
2040-01-01 19:00:00,0.0,4.27893723332113,0.0,37.43786289616901,0.0,0.0,0.0,0.0,0.0
2040-01-01 20:00:00,0.0,4.52726269336231,0.0,37.75926472431115,0.0,0.0,0.0,0.0,0.0
2040-01-01 21:00:00,0.0,4.547658323612367,0.0,38.62353932926612,0.0,0.0,0.0,0.0,0.0
2040-01-01 22:00:00,0.0,4.439765294286907,0.0,39.56593340326231,0.0,0.0,0.0,0.0,0.0
2040-01-01 23:00:00,0.0,4.652458537819911,0.0,41.418658541283094,0.0,0.0,0.0,0.0,0.0
2040-01-02 00:00:00,0.0,4.82915475155643,0.0,43.73949708220516,0.0,0.0,0.0,0.0,0.0
2040-01-02 01:00:00,0.0,4.876947054483615,0.0,42.56746766436595,0.0,0.0,0.0,0.0,0.0
2040-01-02 02:00:00,0.0,4.913883160860969,0.0,43.595213306960204,0.0,0.0,0.0,0.0,0.0
2040-01-02 03:00:00,0.0,4.805386647949902,0.0,44.18050913954403,0.0,0.0,0.0,0.0,0.0
2040-01-02 04:00:00,0.0,4.725412783162319,0.0,43.39743816281407,0.0,0.0,0.0,0.0,0.0
2040-01-02 05:00:00,0.0,4.703184376396379,0.0,42.22715351814554,0.0,0.0,0.0,0.0,0.0
2040-01-02 06:00:00,0.0,4.619772225819112,0.0,40.493387631582664,0.0,0.0,0.0,0.0,0.0
2040-01-02 07:00:00,0.0,4.341888097541286,0.0,38.01137879599605,0.0,0.0,0.0,0.0,0.0
2040-01-02 08:00:00,0.0,4.3838726497266975,0.0,38.372428860303216,0.0,0.0,0.0,0.0,0.0
2040-01-02 09:00:00,0.0,4.304440958830263,0.0,37.0506670453633,0.0,0.0,0.0,0.0,0.0
2040-01-02 10:00:00,0.0,4.105385988722091,0.0,36.14757176666012,0.0,0.0,0.0,0.0,0.0
2040-01-02 11:00:00,0.0,4.136097725846085,0.0,36.428752773730366,0.0,0.0,0.0,0.0,0.0
2040-01-02 12:00:00,0.0,4.142341173136792,0.0,35.16314818116871,0.0,0.0,0.0,0.0,0.0
2040-01-02 13:00:00,0.0,4.022635446846188,0.0,34.956978033868154,0.0,0.0,0.0,0.0,0.0
2040-01-02 14:00:00,0.0,4.039584398696096,0.0,35.320886449037744,0.0,0.0,0.0,0.0,0.0
2040-01-02 15:00:00,0.0,4.042816807394868,0.0,35.20842899518698,0.0,0.0,0.0,0.0,0.0
2040-01-02 16:00:00,0.0,4.120799863251676,0.0,35.68874877415328,0.0,0.0,0.0,0.0,0.0
2040-01-02 17:00:00,0.0,4.27713398541053,0.0,36.65438992447571,0.0,0.0,0.0,0.0,0.0
2040-01-02 18:00:00,0.0,4.274915573303311,0.0,38.66818679692028,0.0,0.0,0.0,0.0,0.0
2040-01-02 19:00:00,0.0,4.494637303930517,0.0,39.80686747832215,0.0,0.0,0.0,0.0,0.0
2040-01-02 20:00:00,0.0,4.642070769772303,0.0,40.3343875441235,0.0,0.0,0.0,0.0,0.0
2040-01-02 21:00:00,0.0,4.760971442669167,0.0,42.672300106207786,0.0,0.0,0.0,0.0,0.0
2040-01-02 22:00:00,0.0,4.716605399113793,0.0,42.782284362891914,0.0,0.0,0.0,0.0,0.0
2040-01-02 23:00:00,0.0,4.752883750265387,0.0,42.310980301693235,0.0,0.0,0.0,0.0,0.0
2040-01-03 00:00:00,5.398897471543732,3.3859037773960026,0.0,42.85106258732981,0.0,0.0,0.0,0.0,0.0
2040-01-03 01:00:00,11.086851035520636,1.4605006514412011,0.0,40.486862035865215,0.0,0.0,0.0,0.0,0.0
2040-01-03 02:00:00,0.0,4.850050516255351,0.0,42.80644223851277,0.0,0.0,0.0,0.0,0.0
2040-01-03 03:00:00,0.0,4.825200082979542,0.0,43.796654296620545,0.0,0.0,0.0,0.0,0.0
2040-01-03 04:00:00,5.567017833539198,3.115263419407512,0.0,40.76125110548833,0.0,0.0,0.0,0.0,0.0
2040-01-03 05:00:00,15.609416091679318,0.0,0.0,36.74835214303107,0.0,0.0,0.0,0.0,0.0
2040-01-03 06:00:00,15.005843615442098,0.0,0.0,36.452749193466616,0.0,0.0,0.0,0.0,0.0
2040-01-03 07:00:00,0.0,4.463099272196715,0.0,37.873320285047384,0.0,0.0,0.0,0.0,0.0
2040-01-03 08:00:00,0.0,4.253866595828498,0.0,37.246143111617585,0.0,0.0,0.0,0.0,0.0
2040-01-03 09:00:00,0.0,4.19418180576546,0.0,36.761205116096335,0.0,0.0,0.0,0.0,0.0
2040-01-03 10:00:00,0.0,4.037530447323384,0.0,36.174363075941756,0.0,0.0,0.0,0.0,0.0
2040-01-03 11:00:00,0.0,4.022253694195246,0.0,34.91686815746971,0.0,0.0,0.0,0.0,0.0
2040-01-03 12:00:00,0.0,4.005029931813915,0.0,34.281441347577584,0.0,0.0,0.0,0.0,0.0
2040-01-03 13:00:00,0.0,3.997838507082548,0.0,34.09996350029974,0.0,0.0,0.0,0.0,0.0
2040-01-03 14:00:00,0.0,4.039016460981546,0.0,34.85877525958222,0.0,0.0,0.0,0.0,0.0
2040-01-03 15:00:00,0.0,4.073047098286818,0.0,35.806879229430024,0.0,0.0,0.0,0.0,0.0
2040-01-03 16:00:00,0.0,4.080177228651674,0.0,35.13030911539795,0.0,0.0,0.0,0.0,0.0
2040-01-03 17:00:00,0.0,4.303387441006436,0.0,35.782647334770445,0.0,0.0,0.0,0.0,0.0
2040-01-03 18:00:00,0.0,4.363325647021206,0.0,38.01915170427401,0.0,0.0,0.0,0.0,0.0
2040-01-03 19:00:00,0.0,4.505588730568277,0.0,39.181060714645355,0.0,0.0,0.0,0.0,0.0
2040-01-03 20:00:00,0.0,4.655719719605301,0.0,40.02844762530685,0.0,0.0,0.0,0.0,0.0
2040-01-03 21:00:00,0.0,4.716466323972234,0.0,42.20862465822188,0.0,0.0,0.0,0.0,0.0
2040-01-03 22:00:00,0.0,4.737505313769482,0.0,43.25494500446666,0.0,0.0,0.0,0.0,0.0
2040-01-03 23:00:00,0.0,4.954965464002825,0.0,43.093494392509,0.0,0.0,0.0,0.0,0.0
2040-01-04 00:00:00,0.0,4.95201327190717,0.0,43.65843694585965,0.0,0.0,0.0,0.0,0.0
2040-01-04 01:00:00,0.0,4.974852419321664,0.0,44.53855164329343,0.0,0.0,0.0,0.0,0.0
2040-01-04 02:00:00,0.0,4.79970276831915,0.0,43.44005520742917,0.0,0.0,0.0,0.0,0.0
2040-01-04 03:00:00,0.0,4.876312110080576,0.0,42.350534972611285,0.0,0.0,0.0,0.0,0.0
2040-01-04 04:00:00,0.0,4.839504599644123,0.0,42.678465468948616,0.0,0.0,0.0,0.0,0.0
2040-01-04 05:00:00,0.0,4.7271350182715395,0.0,41.07974385110606,0.0,0.0,0.0,0.0,0.0
2040-01-04 06:00:00,0.0,4.456609280059467,0.0,40.70219158628174,0.0,0.0,0.0,0.0,0.0
2040-01-04 07:00:00,0.0,4.407843042241282,0.0,38.9815118254603,0.0,0.0,0.0,0.0,0.0
2040-01-04 08:00:00,0.0,4.300746776878384,0.0,38.01451146458612,0.0,0.0,0.0,0.0,0.0
2040-01-04 09:00:00,0.0,4.259878256167326,0.0,37.431890474627835,0.0,0.0,0.0,0.0,0.0
2040-01-04 10:00:00,0.0,4.176458586049332,0.0,36.0595993938291,0.0,0.0,0.0,0.0,0.0
2040-01-04 11:00:00,0.0,4.09018040228073,0.0,34.990200894737654,0.0,0.0,0.0,0.0,0.0
2040-01-04 12:00:00,0.0,3.976797297585602,0.0,34.23342006317944,0.0,0.0,0.0,0.0,0.0
2040-01-04 13:00:00,0.0,4.062386078515786,0.0,35.855702872190705,0.0,0.0,0.0,0.0,0.0
2040-01-04 14:00:00,0.0,3.9750545193735505,0.0,35.53662936293222,0.0,0.0,0.0,0.0,0.0
2040-01-04 15:00:00,0.0,4.0409712810136895,0.0,34.396653647499534,0.0,0.0,0.0,0.0,0.0
2040-01-04 16:00:00,0.0,4.1931012990100776,0.0,35.4832553401161,0.0,0.0,0.0,0.0,0.0
2040-01-04 17:00:00,0.0,4.2402468665121305,0.0,37.45467583120012,0.0,0.0,0.0,0.0,0.0
2040-01-04 18:00:00,0.0,4.315007180879434,0.0,37.75857048414582,0.0,0.0,0.0,0.0,0.0
2040-01-04 19:00:00,0.0,4.399538022616156,0.0,39.336678537010584,0.0,0.0,0.0,0.0,0.0
2040-01-04 20:00:00,0.0,4.536012367139904,0.0,41.13359190476035,0.0,0.0,0.0,0.0,0.0
2040-01-04 21:00:00,0.0,4.661404908596431,0.0,41.77890718032904,0.0,0.0,0.0,0.0,0.0
2040-01-04 22:00:00,0.0,4.762515746011957,0.0,42.55475945814101,0.0,0.0,0.0,0.0,0.0
2040-01-04 23:00:00,0.0,4.847681272039715,0.0,43.03869913838412,0.0,0.0,0.0,0.0,0.0
2040-01-05 00:00:00,0.0,4.83990714003636,0.0,43.73099827985834,0.0,0.0,0.0,0.0,0.0
2040-01-05 01:00:00,0.0,4.882138549903004,0.0,44.285714437647584,0.0,0.0,0.0,0.0,0.0
2040-01-05 02:00:00,0.0,4.919635402596249,0.0,45.22973994696167,0.0,0.0,0.0,0.0,0.0
2040-01-05 03:00:00,0.0,4.876405661632667,0.0,44.237212913367784,0.0,0.0,0.0,0.0,0.0
2040-01-05 04:00:00,0.0,4.787512556613812,0.0,42.51056418270446,0.0,0.0,0.0,0.0,0.0
2040-01-05 05:00:00,0.0,4.6462309335521255,0.0,42.331081091056376,0.0,0.0,0.0,0.0,0.0
2040-01-05 06:00:00,0.0,4.677349260681531,0.0,40.75774977651736,0.0,0.0,0.0,0.0,0.0
2040-01-05 07:00:00,0.0,4.466153754535355,0.0,38.34356728327111,0.0,0.0,0.0,0.0,0.0
2040-01-05 08:00:00,0.0,4.362222761901904,0.0,38.1175356786423,0.0,0.0,0.0,0.0,0.0
2040-01-05 09:00:00,0.0,4.270465696432794,0.0,37.74038139753543,0.0,0.0,0.0,0.0,0.0
2040-01-05 10:00:00,0.0,4.145230258140767,0.0,35.71356739134171,0.0,0.0,0.0,0.0,0.0
2040-01-05 11:00:00,0.0,3.963263834651702,0.0,35.832517656278924,0.0,0.0,0.0,0.0,0.0
2040-01-05 12:00:00,0.0,4.103291250841686,0.0,34.77908144159187,0.0,0.0,0.0,0.0,0.0
2040-01-05 13:00:00,0.0,3.95833979533721,0.0,34.69697192975423,0.0,0.0,0.0,0.0,0.0
2040-01-05 14:00:00,0.0,4.037678905308788,0.0,34.167485959158284,0.0,0.0,0.0,0.0,0.0
2040-01-05 15:00:00,0.0,4.074730863207996,0.0,36.65361514021015,0.0,0.0,0.0,0.0,0.0
2040-01-05 16:00:00,0.0,4.093128546550915,0.0,36.33227539367704,0.0,0.0,0.0,0.0,0.0
2040-01-05 17:00:00,0.0,4.288684584624583,0.0,37.76762015322265,0.0,0.0,0.0,0.0,0.0
2040-01-05 18:00:00,0.0,4.3256433686537505,0.0,37.8468311070435,0.0,0.0,0.0,0.0,0.0
2040-01-05 19:00:00,0.0,4.289152823889708,0.0,38.17911954716874,0.0,0.0,0.0,0.0,0.0
2040-01-05 20:00:00,0.0,4.639542562055318,0.0,41.507872640797814,0.0,0.0,0.0,0.0,0.0
2040-01-05 21:00:00,0.0,4.6562408077212964,0.0,41.1358424341156,0.0,0.0,0.0,0.0,0.0
2040-01-05 22:00:00,0.0,4.81754155054152,0.0,43.94307180640794,0.0,0.0,0.0,0.0,0.0
2040-01-05 23:00:00,0.0,4.833097306395068,0.0,43.24111695584793,0.0,0.0,0.0,0.0,0.0
2040-01-06 00:00:00,0.0,4.837420289734048,0.0,45.045893020932226,0.0,0.0,0.0,0.0,0.0
2040-01-06 01:00:00,0.0,4.8490175706019585,0.0,43.36500413034241,0.0,0.0,0.0,0.0,0.0
2040-01-06 02:00:00,0.0,4.824449815370578,0.0,42.393727684535406,0.0,0.0,0.0,0.0,0.0
2040-01-06 03:00:00,0.0,4.871768015712362,0.0,43.93446874594929,0.0,0.0,0.0,0.0,0.0
2040-01-06 04:00:00,0.0,4.775578188853579,0.0,42.58336194732192,0.0,0.0,0.0,0.0,0.0
2040-01-06 05:00:00,0.0,4.643228082923379,0.0,41.63320844513328,0.0,0.0,0.0,0.0,0.0
2040-01-06 06:00:00,0.0,4.454822631764621,0.0,41.191496491724365,0.0,0.0,0.0,0.0,0.0
2040-01-06 07:00:00,0.0,4.385002408727438,0.0,38.667399902032685,0.0,0.0,0.0,0.0,0.0
2040-01-06 08:00:00,0.0,4.25692723795909,0.0,37.19562010457571,0.0,0.0,0.0,0.0,0.0
2040-01-06 09:00:00,0.0,4.201799683955912,0.0,36.23942699374652,0.0,0.0,0.0,0.0,0.0
2040-01-06 10:00:00,0.0,4.10452853934537,0.0,34.966968901683686,0.0,0.0,0.0,0.0,0.0
2040-01-06 11:00:00,0.0,3.9420927999375053,0.0,34.08231944640647,0.0,0.0,0.0,0.0,0.0
2040-01-06 12:00:00,0.0,4.077596942546496,0.0,34.13755555061039,0.0,0.0,0.0,0.0,0.0
2040-01-06 13:00:00,0.0,3.8682832615930067,0.0,33.98037770492351,0.0,0.0,0.0,0.0,0.0
2040-01-06 14:00:00,0.0,3.944530716786989,0.0,34.51436882964572,0.0,0.0,0.0,0.0,0.0
2040-01-06 15:00:00,0.0,4.004744569423195,0.0,34.516638764994696,0.0,0.0,0.0,0.0,0.0
2040-01-06 16:00:00,0.0,4.2332973123271245,0.0,36.07460418974938,0.0,0.0,0.0,0.0,0.0
2040-01-06 17:00:00,0.0,4.170458327165996,0.0,37.45443841848032,0.0,0.0,0.0,0.0,0.0
2040-01-06 18:00:00,0.0,4.340878157552552,0.0,37.98486219747747,0.0,0.0,0.0,0.0,0.0
2040-01-06 19:00:00,0.0,4.495191841865456,0.0,39.65827089181926,0.0,0.0,0.0,0.0,0.0
2040-01-06 20:00:00,0.0,4.585288453188042,0.0,39.87833015716387,0.0,0.0,0.0,0.0,0.0
2040-01-06 21:00:00,0.0,4.793980038961166,0.0,41.96142268346671,0.0,0.0,0.0,0.0,0.0
2040-01-06 22:00:00,0.0,4.811994256794776,0.0,42.97731019520597,0.0,0.0,0.0,0.0,0.0
2040-01-06 23:00:00,0.0,4.919330385709294,0.0,42.89078163951649,0.0,0.0,0.0,0.0,0.0
2040-01-07 00:00:00,1.819807084643669,4.189759597078989,0.0,39.601057851407404,0.0,0.0,0.0,0.0,0.0
2040-01-07 01:00:00,0.0,4.772765901511043,0.0,41.29232460879666,0.0,0.0,0.0,0.0,0.0
2040-01-07 02:00:00,0.0,4.565586893245353,0.0,41.07288691471149,0.0,0.0,0.0,0.0,0.0
2040-01-07 03:00:00,0.0,4.648633899505896,0.0,41.79159979519113,0.0,0.0,0.0,0.0,0.0
2040-01-07 04:00:00,0.0,4.5132878778994865,0.0,39.70221547299229,0.0,0.0,0.0,0.0,0.0
2040-01-07 05:00:00,0.0,4.453955138792807,0.0,40.24706558539083,0.0,0.0,0.0,0.0,0.0
2040-01-07 06:00:00,0.0,4.40152602559602,0.0,36.49433497859468,0.0,0.0,0.0,0.0,0.0
2040-01-07 07:00:00,0.0,4.221640993433084,0.0,36.707846398229094,0.0,0.0,0.0,0.0,0.0
2040-01-07 08:00:00,0.0,4.123360114107367,0.0,35.47992693889955,0.0,0.0,0.0,0.0,0.0
2040-01-07 09:00:00,0.0,3.8974360520805114,0.0,34.380377660666454,0.0,0.0,0.0,0.0,0.0
2040-01-07 10:00:00,0.0,3.9441042738832266,0.0,33.52963496989628,0.0,0.0,0.0,0.0,0.0
2040-01-07 11:00:00,0.0,4.03445838795853,0.0,33.28240598449224,0.0,0.0,0.0,0.0,0.0
2040-01-07 12:00:00,0.0,3.7378629061340902,0.0,33.56386821108845,0.0,0.0,0.0,0.0,0.0
2040-01-07 13:00:00,0.0,3.8396994431195033,0.0,32.50082368435824,0.0,0.0,0.0,0.0,0.0
2040-01-07 14:00:00,0.0,3.782253224274008,0.0,33.346567059673816,0.0,0.0,0.0,0.0,0.0
2040-01-07 15:00:00,0.0,3.9014560221636074,0.0,33.11761998989277,0.0,0.0,0.0,0.0,0.0
2040-01-07 16:00:00,0.0,3.987959842980569,0.0,33.94658913682497,0.0,0.0,0.0,0.0,0.0
2040-01-07 17:00:00,0.0,3.960404229507624,0.0,33.21721565016492,0.0,0.0,0.0,0.0,0.0
2040-01-07 18:00:00,0.0,4.130900918471532,0.0,35.836044271731,0.0,0.0,0.0,0.0,0.0
2040-01-07 19:00:00,0.0,4.277859985073505,0.0,37.33527320801295,0.0,0.0,0.0,0.0,0.0
2040-01-07 20:00:00,0.0,4.45374978997225,0.0,37.37193667244719,0.0,0.0,0.0,0.0,0.0
2040-01-07 21:00:00,0.0,4.42366966796051,0.0,38.62727074261943,0.0,0.0,0.0,0.0,0.0
2040-01-07 22:00:00,0.0,4.551714448694305,0.0,39.38543532725225,0.0,0.0,0.0,0.0,0.0
2040-01-07 23:00:00,0.0,4.7129960582335,0.0,42.285421194175115,0.0,0.0,0.0,0.0,0.0
2040-01-08 00:00:00,0.0,4.692739966441785,0.0,40.41879895254806,0.0,0.0,0.0,0.0,0.0
2040-01-08 01:00:00,0.0,4.589908635617618,0.0,40.634606466368496,0.0,0.0,0.0,0.0,0.0
2040-01-08 02:00:00,0.0,4.774469696966285,0.0,39.24713465203331,0.0,0.0,0.0,0.0,0.0
2040-01-08 03:00:00,0.0,4.623545090128857,0.0,39.5362000904488,0.0,0.0,0.0,0.0,0.0
2040-01-08 04:00:00,0.0,4.650683461738076,0.0,40.21289527213162,0.0,0.0,0.0,0.0,0.0
2040-01-08 05:00:00,0.0,4.521399808579538,0.0,38.24899943368882,0.0,0.0,0.0,0.0,0.0
2040-01-08 06:00:00,0.0,4.4519093750797545,0.0,36.2681631714629,0.0,0.0,0.0,0.0,0.0
2040-01-08 07:00:00,0.0,4.261741398511383,0.0,36.7169900263375,0.0,0.0,0.0,0.0,0.0
2040-01-08 08:00:00,0.0,3.95523208383576,0.0,35.647936773350466,0.0,0.0,0.0,0.0,0.0
2040-01-08 09:00:00,0.0,4.132817401506898,0.0,34.97833225407862,0.0,0.0,0.0,0.0,0.0
2040-01-08 10:00:00,0.0,3.956111353505669,0.0,34.04571684897542,0.0,0.0,0.0,0.0,0.0
2040-01-08 11:00:00,0.0,3.8829553645130765,0.0,32.77919590072656,0.0,0.0,0.0,0.0,0.0
2040-01-08 12:00:00,0.0,3.7699046164093204,0.0,34.2292190184437,0.0,0.0,0.0,0.0,0.0
2040-01-08 13:00:00,0.0,3.721504451285959,0.0,32.128489356266755,0.0,0.0,0.0,0.0,0.0
2040-01-08 14:00:00,0.0,3.815135506764758,0.0,32.92491828917014,0.0,0.0,0.0,0.0,0.0
2040-01-08 15:00:00,1.7920491794322686,3.4237831474397993,0.0,31.935723703850954,0.0,0.0,0.0,0.0,0.0
2040-01-08 16:00:00,9.761466576375584,1.0429439191414573,0.0,30.54572139332322,0.0,0.0,0.0,0.0,0.0
2040-01-08 17:00:00,2.169191206995233,3.4143308999534945,0.0,33.167677070319996,0.0,0.0,0.0,0.0,0.0
2040-01-08 18:00:00,2.0743131048500842,3.529874392591015,0.0,35.29136764934606,0.0,0.0,0.0,0.0,0.0
2040-01-08 19:00:00,0.0,4.276578864737438,0.0,36.65883267924846,0.0,0.0,0.0,0.0,0.0
2040-01-08 20:00:00,0.0,4.3769227976642,0.0,37.362761819222214,0.0,0.0,0.0,0.0,0.0
2040-01-08 21:00:00,0.0,4.291036940427453,0.0,37.51653243818805,0.0,0.0,0.0,0.0,0.0
2040-01-08 22:00:00,0.0,4.516494450706496,0.0,40.314807993168415,0.0,0.0,0.0,0.0,0.0
2040-01-08 23:00:00,0.0,4.565241235395867,0.0,41.18447454359875,0.0,0.0,0.0,0.0,0.0
2040-01-09 00:00:00,0.0,4.892156584904363,0.0,44.274923196415784,0.0,0.0,0.0,0.0,0.0
2040-01-09 01:00:00,0.0,4.9349773832523525,0.0,43.752202600849614,0.0,0.0,0.0,0.0,0.0
2040-01-09 02:00:00,0.0,4.852639280929473,0.0,44.12975630511892,0.0,0.0,0.0,0.0,0.0
2040-01-09 03:00:00,0.0,4.6724336383383545,0.0,43.695844663505795,0.0,0.0,0.0,0.0,0.0
2040-01-09 04:00:00,0.0,4.725879140388353,0.0,42.778146125119974,0.0,0.0,0.0,0.0,0.0
2040-01-09 05:00:00,0.0,4.558447655535416,0.0,42.41564163766907,0.0,0.0,0.0,0.0,0.0
2040-01-09 06:00:00,11.1550964405181,1.1805011230275824,0.0,36.87476482094007,0.0,0.0,0.0,0.0,0.0
2040-01-09 07:00:00,7.720296405947378,2.2223838260737665,0.0,37.09755425094886,0.0,0.0,0.0,0.0,0.0
2040-01-09 08:00:00,13.791280488016621,0.0,0.0,32.64383084343012,0.0,0.0,0.0,0.0,0.0
2040-01-09 09:00:00,0.0,4.2014956890906205,0.0,38.210876365013746,0.0,0.0,0.0,0.0,0.0
2040-01-09 10:00:00,13.808459062157544,0.0,0.0,31.32281810533118,0.0,0.0,0.0,0.0,0.0
2040-01-09 11:00:00,13.790162216840372,0.0,0.0,31.336979301676365,0.0,0.0,0.0,0.0,0.0
2040-01-09 12:00:00,0.0,3.96788907229622,0.0,35.07483695647784,0.0,0.0,0.0,0.0,0.0
2040-01-09 13:00:00,0.0,3.9373461481595697,0.0,34.028340546682784,0.0,0.0,0.0,0.0,0.0
2040-01-09 14:00:00,0.0,3.9850196573187873,0.0,34.687331317347116,0.0,0.0,0.0,0.0,0.0
2040-01-09 15:00:00,0.0,4.000993663452128,0.0,35.57371329387911,0.0,0.0,0.0,0.0,0.0
2040-01-09 16:00:00,0.0,4.121667449976197,0.0,35.87554327155817,0.0,0.0,0.0,0.0,0.0
2040-01-09 17:00:00,0.0,4.221415179998068,0.0,36.704058134885145,0.0,0.0,0.0,0.0,0.0
2040-01-09 18:00:00,0.0,4.417668500806869,0.0,37.89310792559991,0.0,0.0,0.0,0.0,0.0
2040-01-09 19:00:00,0.0,4.4210037321288596,0.0,38.70095344968513,0.0,0.0,0.0,0.0,0.0
2040-01-09 20:00:00,0.0,4.462832175800614,0.0,40.19329973432809,0.0,0.0,0.0,0.0,0.0
2040-01-09 21:00:00,0.0,4.594852951472561,0.0,41.72185706115829,0.0,0.0,0.0,0.0,0.0
2040-01-09 22:00:00,0.0,4.7152353258391955,0.0,42.78129307505469,0.0,0.0,0.0,0.0,0.0
2040-01-09 23:00:00,0.0,4.852275644346065,0.0,44.07552281944845,0.0,0.0,0.0,0.0,0.0
2040-01-10 00:00:00,0.0,4.775960035545744,0.0,43.61607746454479,0.0,0.0,0.0,0.0,0.0
2040-01-10 01:00:00,0.0,4.6657190901096826,0.0,43.214757894570766,0.0,0.0,0.0,0.0,0.0
2040-01-10 02:00:00,0.0,4.790883799742097,0.0,44.243144168953904,0.0,0.0,0.0,0.0,0.0
2040-01-10 03:00:00,0.0,4.7847263580802775,0.0,43.44070348475202,0.0,0.0,0.0,0.0,0.0
2040-01-10 04:00:00,0.0,4.621399812626869,0.0,43.09920215502643,0.0,0.0,0.0,0.0,0.0
2040-01-10 05:00:00,0.0,4.635801561129682,0.0,41.63911894970556,0.0,0.0,0.0,0.0,0.0
2040-01-10 06:00:00,0.0,4.685290524309096,0.0,40.92610060186166,0.0,0.0,0.0,0.0,0.0
2040-01-10 07:00:00,0.0,4.355765679061072,0.0,39.408995590556515,0.0,0.0,0.0,0.0,0.0
2040-01-10 08:00:00,0.0,4.332302511909091,0.0,38.52399244417029,0.0,0.0,0.0,0.0,0.0
2040-01-10 09:00:00,0.0,4.192360396550946,0.0,36.259168842732834,0.0,0.0,0.0,0.0,0.0
2040-01-10 10:00:00,0.0,4.130201734781309,0.0,35.8987479118573,0.0,0.0,0.0,0.0,0.0
2040-01-10 11:00:00,0.0,4.057228780052153,0.0,35.340326998508544,0.0,0.0,0.0,0.0,0.0
2040-01-10 12:00:00,0.0,3.8375091114189708,0.0,35.638578744426695,0.0,0.0,0.0,0.0,0.0
2040-01-10 13:00:00,0.0,3.919651951864754,0.0,34.48990128792002,0.0,0.0,0.0,0.0,0.0
2040-01-10 14:00:00,0.0,4.0400545040852975,0.0,35.07628037093605,0.0,0.0,0.0,0.0,0.0
2040-01-10 15:00:00,0.0,4.0862123792968745,0.0,35.149981061918425,0.0,0.0,0.0,0.0,0.0
2040-01-10 16:00:00,0.0,4.0405185083391295,0.0,34.57596550040648,0.0,0.0,0.0,0.0,0.0
2040-01-10 17:00:00,0.0,4.1778256282629656,0.0,37.68705274249896,0.0,0.0,0.0,0.0,0.0
