,wind_daily_cf,solar_daily_cf,simultaneous_low
2050-01-01,0.47517248965137465,0.211094059507853,False
2050-01-02,0.33184787647770386,0.16894803989706383,False
2050-01-03,0.07601344071217862,0.19285011723104584,False
2050-01-04,0.19932079414040196,0.23065478462415237,False
2050-01-05,0.5929108480533842,0.22288568771784392,False
2050-01-06,0.5311461760752156,0.0759834587504377,False
2050-01-07,0.3550310712282096,0.22302305228769917,False
2050-01-08,0.2529266255360587,0.2329851196564766,False
2050-01-09,0.9835713848210937,0.20889841536913387,False
2050-01-10,0.3903580783188103,0.032671775181507184,False
2050-01-11,0.8232193768994353,0.07591316576794695,False
2050-01-12,0.6853732967988294,0.0742826540428156,False
2050-01-13,0.43270568458628555,0.07191857828955092,False
2050-01-14,0.22452636234382647,0.2271997527064206,False
2050-01-15,0.9426134744849923,0.2136201483441211,False
2050-01-16,0.8977041733831806,0.0794409198639789,False
2050-01-17,0.7358583444645393,0.20759751147976205,False
2050-01-18,0.9426255474689845,0.18502248841182886,False
2050-01-19,0.9993336670815401,0.23496835654936557,False
2050-01-20,0.4196262538362423,0.0643455772833075,False
2050-01-21,0.6305354059854623,0.1866293007549981,False
2050-01-22,0.2256061658459555,0.14418191611315423,False
2050-01-23,0.5767814219268984,0.22462854592835704,False
2050-01-24,0.28692244756282964,0.06723801800500565,False
2050-01-25,0.7449749385642667,0.19779647497818145,False
2050-01-26,0.9696755893970304,0.19797381017202595,False
2050-01-27,0.7359529109475548,0.07692739039427793,False
2050-01-28,0.8650145919626925,0.2541243696827724,False
2050-01-29,0.9709657191425011,0.08380558277568495,False
2050-01-30,0.9999471951867925,0.21787588719393267,False
2050-01-31,0.7676044087878092,0.08752443723885593,False
2050-02-01,0.4182917481060469,0.21167370053455836,False
2050-02-02,0.41777688991252315,0.07723393700098305,False
2050-02-03,0.15954115582401063,0.20207726613979574,False
2050-02-04,0.3229597198381106,0.19939982517285412,False
2050-02-05,0.3095144022883755,0.154351039740378,False
2050-02-06,0.05240321539229104,0.27625195143944653,False
2050-02-07,0.10216259984494346,0.28230973971133794,False
2050-02-08,0.07432520313390562,0.27581318755114864,False
2050-02-09,0.3893770968647788,0.12434403082338615,False
2050-02-10,0.16688613838460653,0.1654692748628357,False
2050-02-11,0.1221969703031733,0.07631247555313246,True
2050-02-12,0.4484846794004251,0.23840951450568806,False
2050-02-13,0.7537827035198972,0.08794080419319279,False
2050-02-14,0.8117026439892485,0.23809267607109652,False
2050-02-15,0.63634926931583,0.16978641141360226,False
2050-02-16,0.7732229032588943,0.2165240482380236,False
2050-02-17,0.742996030495691,0.0735122114126276,False
2050-02-18,0.999759872440257,0.20224608604671845,False
2050-02-19,0.9988718747951264,0.1441817771233393,False
2050-02-20,0.333699937807121,0.23887998727515772,False
2050-02-21,0.4292118387351654,0.22684501508014518,False
2050-02-22,0.294401651892477,0.23788740666850036,False
2050-02-23,0.9349188158520966,0.05706224735149639,False
2050-02-24,0.9941669282048825,0.20700367592936963,False
2050-02-25,0.8558295933855504,0.0625134547239936,False
2050-02-26,0.9956503466614518,0.0871099693074651,False
2050-02-27,0.999849085323699,0.19085221520649986,False
2050-02-28,0.8495157952717974,0.09590949510165829,False
2050-03-01,0.5321685568109383,0.1417832955380131,False
2050-03-02,0.30805458053138274,0.03987530585801868,False
2050-03-03,0.1864534160834983,0.03279019852297574,True
2050-03-04,0.19667599960271367,0.08305396065464805,True
2050-03-05,0.31702690332384326,0.18544626742610512,False
2050-03-06,0.19774696778433556,0.052418640363118905,True
2050-03-07,0.509656078354373,0.10028647164624362,False
2050-03-08,0.967870903203596,0.14056621101306277,False
2050-03-09,0.2557058857570414,0.09846332482951359,False
2050-03-10,0.04968879413141151,0.12941893523102627,False
2050-03-11,0.18934867160735158,0.012619960864651981,True
2050-03-12,0.14145529360324133,0.09609772848719234,True
2050-03-13,0.10763570515820049,0.22159881633532175,False
2050-03-14,0.7667770690004715,0.07834864858855378,False
2050-03-15,0.9724314511192457,0.07998344887787905,False
2050-03-16,0.7962190150294842,0.18703319229106155,False
2050-03-17,0.9537541948834821,0.11164148548396623,False
2050-03-18,0.8760612789007777,0.07256412170810202,False
2050-03-19,0.8373313345347486,0.10005203709671845,False
2050-03-20,0.9685075384693137,0.12697718486489548,False
2050-03-21,0.3986828595778376,0.058565351845167146,False
2050-03-22,0.20882932039562196,0.15483610417502328,False
2050-03-23,0.6569278421132287,0.1022826969624791,False
2050-03-24,0.5318399263999389,0.14898989362248774,False
2050-03-25,0.7344892593309149,0.04232739189539445,False
2050-03-26,0.7164897508233897,0.04217417196296904,False
