,wind_daily_cf,solar_daily_cf,simultaneous_low
2050-01-01,0.4542915275280314,0.212169854665367,False
2050-01-02,0.31470336864199167,0.1626760935371548,False
2050-01-03,0.08432247379323465,0.19050898376525097,False
2050-01-04,0.2190916423535564,0.2312931630097729,False
2050-01-05,0.6046994025118669,0.22249083130208866,False
2050-01-06,0.5398046825452021,0.0758763426230995,False
2050-01-07,0.3302015936821728,0.22001274381643113,False
2050-01-08,0.2753231592675492,0.23203027535928045,False
2050-01-09,0.9874444439835437,0.2075972164402076,False
2050-01-10,0.39946589829491536,0.032061384282128756,False
2050-01-11,0.8394897759401602,0.07614364953287471,False
2050-01-12,0.6898180433439035,0.074261159511354,False
2050-01-13,0.4389718882497718,0.0697179993892591,False
2050-01-14,0.240487255607597,0.22680724109993333,False
2050-01-15,0.954428450090237,0.21208905346650875,False
2050-01-16,0.9075373004836886,0.0789476723385228,False
2050-01-17,0.7546078211964312,0.20841774311222402,False
2050-01-18,0.9424205218492158,0.17879833047425334,False
2050-01-19,0.9994163094644567,0.2329779508637402,False
2050-01-20,0.418689506416003,0.06321021132850378,False
2050-01-21,0.645951983212046,0.18409855118071414,False
2050-01-22,0.23284038726287784,0.1463249068999656,False
2050-01-23,0.5830712580534825,0.22453054188518576,False
2050-01-24,0.3037941394361555,0.06761590374659854,False
2050-01-25,0.7508318158606483,0.1952797790744564,False
2050-01-26,0.9751015299895588,0.19738960727542276,False
2050-01-27,0.7147444983949526,0.07539806761151571,False
2050-01-28,0.8786035468152867,0.25278336130809725,False
2050-01-29,0.9748059598586812,0.08311032010465501,False
2050-01-30,0.9999402273913655,0.21682543950311106,False
2050-01-31,0.7728021549125742,0.08790522710972576,False
2050-02-01,0.4124663270545177,0.21252139884613572,False
2050-02-02,0.4250719879813643,0.07783785522410241,False
2050-02-03,0.1851055583097153,0.20392661345530214,False
2050-02-04,0.35365237134239846,0.19894861464440425,False
2050-02-05,0.3228278428370679,0.15432063633405976,False
2050-02-06,0.06102912804459507,0.2769599182567725,False
2050-02-07,0.11791525367696469,0.2814762842750823,False
2050-02-08,0.08519643051202345,0.27584969704109824,False
2050-02-09,0.43279679675559724,0.12627466496835393,False
2050-02-10,0.17786008414819068,0.1682253897635044,False
2050-02-11,0.13244381567594946,0.07868466802532792,True
2050-02-12,0.46773401568362183,0.238406818849793,False
2050-02-13,0.7515916784089008,0.08825420469314604,False
2050-02-14,0.8187665960478689,0.23646891816764626,False
2050-02-15,0.655139839836385,0.16898102926735056,False
2050-02-16,0.8112721275165314,0.21804681440115073,False
2050-02-17,0.7574330345536046,0.07424129939483072,False
2050-02-18,0.9997882246562879,0.20544295130555987,False
2050-02-19,0.9991539060963448,0.14715892686197324,False
