scenario,paper_label,event_start,event_end,event_demand_mwh,event_supply_mwh,event_flexible_electricity_use_mwh,supply_wind_mwh,supply_solar_mwh,supply_bess_mwh,supply_ocgt_mwh,supply_slack_mwh,negative_bess_charge_mwh,supply_h2_fuel_cell_mwh,negative_electrolyzer_mwh,supply_ptx_shortfall_mwh,negative_dac_mwh
RT_base,S2 RT base,2050-06-28,2050-07-06 23:00:00,12314.851472741899,12358.32511251067,0.0,1387.426114718527,785.5102993165347,0.7455744036042806,10184.643124072005,0.0,0.0,,,,
RH_base,S4 RH base,2050-06-28,2050-07-06 23:00:00,12314.851472741899,14788.942720884224,2217.6288238899515,3727.1091477676505,3273.4673080851526,2554.426500571998,0.0,0.0,2089.5216210769486,5233.939764459424,128.1072028130028,,
PTX_base,S5 PtX base,2050-06-28,2050-07-06 23:00:00,12314.851472741899,14095.128195850026,1485.3493163657222,5853.139871261744,1775.1856316981298,1713.5483944689254,0.0,0.0,1207.0322116977081,4753.254298421227,260.05596998888484,0.0,18.261134679129057
