year,zone,demand_mwh,peak_mw
2040,punta_arenas_1,279176.0921226195,710.6436029670007
2040,punta_arenas_2,0.0,0.0
2050,punta_arenas_1,278457.91189605696,710.6436029670007
2050,punta_arenas_2,0.0,0.0
