year,zone,demand_mwh,peak_mw
2025,punta_arenas_1,277245.075421875,45.45725
2025,punta_arenas_2,0.0,0.0
2030,punta_arenas_1,277245.075421875,45.45725
2030,punta_arenas_2,0.0,0.0
2040,punta_arenas_1,277963.25564843754,45.45725
2040,punta_arenas_2,0.0,0.0
2050,punta_arenas_1,277245.075421875,45.45725
2050,punta_arenas_2,0.0,0.0
