name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
elec_punta_arenas_centro,1.0,,0.0,0.0,electricity,,,1.0,0.0,inf,Slack,slack_punta_arenas_centro,0
elec_cabo_negro,1.0,,0.0,0.0,electricity,,,1.0,0.0,inf,Slack,slack_cabo_negro,1
