snapshot,wind_existing_cabo_negro,wind_flexible_cabo_negro,solar_utility_flexible_cabo_negro,pv_residential_flexible_punta_arenas_centro
2030-01-01 00:00:00,0.0193940323947962,0.0193940323947962,0.03984055476273038,0.0405071274797498
2030-01-01 01:00:00,0.01691665566392588,0.01691665566392588,0.004844439328598465,0.004568552583539138
2030-01-01 02:00:00,0.05673742755390121,0.05673742755390121,0.0,0.0
2030-01-01 03:00:00,0.11922457191526054,0.11922457191526054,0.0,0.0
2030-01-01 04:00:00,0.19232015759309096,0.19232015759309096,0.0,0.0
2030-01-01 05:00:00,0.26967633192439927,0.26967633192439927,0.0,0.0
2030-01-01 06:00:00,0.2940999377269961,0.2940999377269961,0.0,0.0
2030-01-01 07:00:00,0.27783048702837454,0.27783048702837454,0.0,0.0
2030-01-01 08:00:00,0.2824518458393028,0.2824518458393028,0.0,0.0
2030-01-01 09:00:00,0.30384802701370883,0.30384802701370883,0.0,0.0
2030-01-01 10:00:00,0.20755282743435075,0.20755282743435075,0.01812690643500941,0.022225206486283452
2030-01-01 11:00:00,0.20949560688997504,0.20949560688997504,0.048333756016718556,0.053403099810204704
2030-01-01 12:00:00,0.22354564224478118,0.22354564224478118,0.2355925453930225,0.2259242750005972
2030-01-01 13:00:00,0.3789383828227231,0.3789383828227231,0.4199380499383881,0.4187476295712709
2030-01-01 14:00:00,0.7002020757052263,0.7002020757052263,0.5798571922112301,0.5517401471252481
2030-01-01 15:00:00,0.7906897795400575,0.7906897795400575,0.7107234225570356,0.6714194813884905
2030-01-01 16:00:00,0.8764235155900376,0.8764235155900376,0.5826288898761647,0.5589928072282127
2030-01-01 17:00:00,0.8116583802506401,0.8116583802506401,0.43458610254902796,0.38393746043591215
2030-01-01 18:00:00,0.7075689524749842,0.7075689524749842,0.3780407808686003,0.4335162206736488
2030-01-01 19:00:00,0.6352402531201672,0.6352402531201672,0.5863638317644516,0.5449358078888863
2030-01-01 20:00:00,0.5850810719319376,0.5850810719319376,0.3778821805376025,0.32764757819635865
2030-01-01 21:00:00,0.5890449894736548,0.5890449894736548,0.3639276230266414,0.3787527834805216
2030-01-01 22:00:00,0.47516677767684573,0.47516677767684573,0.2508114848986316,0.26668572149843733
2030-01-01 23:00:00,0.37645965798290615,0.37645965798290615,0.13803600314596326,0.13161536178043914
2030-01-02 00:00:00,0.37357019263208135,0.37357019263208135,0.03232250831188662,0.039768497330693854
2030-01-02 01:00:00,0.44650285921163835,0.44650285921163835,0.0015238683491389968,0.0017407467433053934
2030-01-02 02:00:00,0.35892401647080224,0.35892401647080224,0.0,0.0
2030-01-02 03:00:00,0.31699465726637144,0.31699465726637144,0.0,0.0
2030-01-02 04:00:00,0.17091111833462064,0.17091111833462064,0.0,0.0
2030-01-02 05:00:00,0.1655686150022483,0.1655686150022483,0.0,0.0
2030-01-02 06:00:00,0.2524668913648831,0.2524668913648831,0.0,0.0
2030-01-02 07:00:00,0.3377777592151331,0.3377777592151331,0.0,0.0
2030-01-02 08:00:00,0.42799414552256954,0.42799414552256954,0.0,0.0
2030-01-02 09:00:00,0.5393973732264666,0.5393973732264666,0.0,0.0
2030-01-02 10:00:00,0.5635531550023632,0.5635531550023632,0.0017111893556739492,0.0016441596986583732
2030-01-02 11:00:00,0.5803948333848524,0.5803948333848524,0.016430875394061222,0.013272499146814304
2030-01-02 12:00:00,0.3768341940925074,0.3768341940925074,0.07524015139667477,0.03704714898409329
2030-01-02 13:00:00,0.19651985499285732,0.19651985499285732,0.0626303501594961,0.06304241318036741
2030-01-02 14:00:00,0.09150982246589263,0.09150982246589263,0.0628530503113037,0.09570327082740225
2030-01-02 15:00:00,0.06300349600195919,0.06300349600195919,0.1305396715050159,0.25725025129443974
2030-01-02 16:00:00,0.06284705776631834,0.06284705776631834,0.16623997158222206,0.39950683259622777
2030-01-02 17:00:00,0.054722243947391426,0.054722243947391426,0.3406824576449412,0.4740586165250247
2030-01-02 18:00:00,0.05052998887290106,0.05052998887290106,0.5724861454417148,0.6916723842543675
2030-01-02 19:00:00,0.07556578380585853,0.07556578380585853,0.5743242769127596,0.6892003399169869
2030-01-02 20:00:00,0.11880098229640791,0.11880098229640791,0.5420826222128936,0.6142330578006783
2030-01-02 21:00:00,0.1831224382336195,0.1831224382336195,0.4239102486103892,0.4873270348362465
2030-01-02 22:00:00,0.2217461696633211,0.2217461696633211,0.3030345240130042,0.3333957682658861
2030-01-02 23:00:00,0.28921863446345764,0.28921863446345764,0.1466341957770898,0.15694336140397208
2030-01-03 00:00:00,0.26482038298518973,0.26482038298518973,0.034131411752375294,0.029730307898029478
2030-01-03 01:00:00,0.24457261317949147,0.24457261317949147,0.007331604509388331,0.007961773178031538
2030-01-03 02:00:00,0.24847188259160635,0.24847188259160635,0.0,0.0
2030-01-03 03:00:00,0.2257657805408759,0.2257657805408759,0.0,0.0
2030-01-03 04:00:00,0.20112589178568469,0.20112589178568469,0.0,0.0
2030-01-03 05:00:00,0.19100172388239056,0.19100172388239056,0.0,0.0
2030-01-03 06:00:00,0.159820093541852,0.159820093541852,0.0,0.0
2030-01-03 07:00:00,0.10558230892530589,0.10558230892530589,0.0,0.0
2030-01-03 08:00:00,0.05741649468171087,0.05741649468171087,0.0,0.0
2030-01-03 09:00:00,0.017997244906644415,0.017997244906644415,0.0,0.0
2030-01-03 10:00:00,0.0006935985023306194,0.0006935985023306194,0.010856667839335914,0.017725428042251544
2030-01-03 11:00:00,0.0,0.0,0.05905696067560389,0.07635366097146337
2030-01-03 12:00:00,0.0,0.0,0.17701767078274652,0.21516967027683875
2030-01-03 13:00:00,0.0,0.0,0.2468918257095432,0.28665032041832267
2030-01-03 14:00:00,0.0,0.0,0.2727497501684963,0.3280269579062569
2030-01-03 15:00:00,0.0,0.0,0.26449159575882203,0.3204917539841879
2030-01-03 16:00:00,0.0,0.0,0.48152592466592015,0.5548360409249911
2030-01-03 17:00:00,0.0,0.0,0.5199566072171221,0.5824619351863145
2030-01-03 18:00:00,0.0007499616363875674,0.0007499616363875674,0.49301934237094186,0.5700733606771756
2030-01-03 19:00:00,0.02581544207054547,0.02581544207054547,0.4415005882590955,0.42701111928094293
2030-01-03 20:00:00,0.0548371906975853,0.0548371906975853,0.5608121114210097,0.592495399965957
2030-01-03 21:00:00,0.12282519313065718,0.12282519313065718,0.40014336004549966,0.3859324933443309
2030-01-03 22:00:00,0.17128385225206744,0.17128385225206744,0.3044978598217157,0.24402895123713067
2030-01-03 23:00:00,0.5292100975633394,0.5292100975633394,0.1296707198311779,0.10182804661102761
2030-01-04 00:00:00,0.35784074640534413,0.35784074640534413,0.031279143663828994,0.02539980731965934
2030-01-04 01:00:00,0.12190239216099626,0.12190239216099626,0.009467290491440367,0.009291955944444022
2030-01-04 02:00:00,0.0014582696101672005,0.0014582696101672005,0.0,0.0
2030-01-04 03:00:00,0.019833795653423084,0.019833795653423084,0.0,0.0
2030-01-04 04:00:00,0.13334514093671468,0.13334514093671468,0.0,0.0
2030-01-04 05:00:00,0.10446759378929525,0.10446759378929525,0.0,0.0
2030-01-04 06:00:00,0.11693054203095869,0.11693054203095869,0.0,0.0
2030-01-04 07:00:00,0.1769703920396508,0.1769703920396508,0.0,0.0
2030-01-04 08:00:00,0.2811798869370429,0.2811798869370429,0.0,0.0
2030-01-04 09:00:00,0.3361235947951694,0.3361235947951694,0.0,0.0
2030-01-04 10:00:00,0.24224089113265646,0.24224089113265646,0.015707662258444582,0.01945893181952442
2030-01-04 11:00:00,0.3097534588292106,0.3097534588292106,0.052589987460811095,0.05414862086081086
2030-01-04 12:00:00,0.4056704038863769,0.4056704038863769,0.12956097093283536,0.14459155295954276
