name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,commissioning_type,commissioning_year,source_asset_id
bess_4h_cabo_negro,elec_cabo_negro,PQ,,0.0,0.0,True,0.0,1500.0,,-1.0,1.0,,0.0,,,1.0,bess,0.0,0.0,0.0,0.0,75000.0,,,0.0,True,0,inf,0.0,False,,False,False,4.0,0.95,0.95,0.001,0.0,0.5059333378967129,flexible,2030.0,bess_4h_cabo_negro
bess_8h_cabo_negro,elec_cabo_negro,PQ,,0.0,0.0,True,0.0,750.0,,-1.0,1.0,,0.0,,,1.0,bess,0.0,0.0,0.0,0.0,115000.0,,,0.0,True,0,inf,0.0,False,,False,False,8.0,0.95,0.95,0.001,0.0,6.128811860897047,flexible,2030.0,bess_8h_cabo_negro
