snapshot,slack_punta_arenas_centro,slack_cabo_negro,wind_existing_cabo_negro,wind_flexible_cabo_negro,solar_utility_flexible_cabo_negro,pv_residential_flexible_punta_arenas_centro,ocgt_existing_punta_arenas_centro
2030-01-01 00:00:00,0.0,0.0,0.04945478260673031,1.2901233279548503,0.0,0.0,30.29651769241528
2030-01-01 01:00:00,0.0,0.0,0.043137471943010985,1.1253241027310177,0.0,0.0,29.616277689585075
2030-01-01 02:00:00,0.0,0.0,0.14468044026244808,3.7742681545214283,0.0,0.0,24.98041255490868
2030-01-01 03:00:00,0.0,0.0,0.30402265838391435,7.931017044943151,0.0,0.0,18.241325924520726
2030-01-01 04:00:00,0.0,0.0,0.4904164018623819,12.793457115879335,0.0,0.0,11.174495829675623
2030-01-01 05:00:00,0.0,0.0,0.6876746464072181,17.939318638361947,0.0,0.0,4.27854594600435
2030-01-01 06:00:00,0.0,0.0,0.74995484120384,19.564017564159254,0.0,0.0,0.35031300479104743
2030-01-01 07:00:00,0.0,0.0,0.7084677419223551,18.481746613382928,0.0,0.0,1.6912849784414448
2030-01-01 08:00:00,0.0,0.0,0.7202522068902221,18.789167096522263,0.0,0.0,1.4244042496557654
2030-01-01 09:00:00,0.0,0.0,0.7748124688849575,20.212476695079822,0.0,0.0,0.4939747803770196
2030-01-01 10:00:00,0.0,0.0,0.5292597099575944,13.806759677677498,0.0,0.0,8.311808754508236
2030-01-01 11:00:00,0.0,0.0,0.5342137975694363,13.935996601992674,0.0,0.0,9.876428747804134
2030-01-01 12:00:00,0.0,0.0,0.570041387724192,14.870628348544228,0.0,0.0,10.391132381660073
2030-01-01 13:00:00,0.0,0.0,0.9662928761979438,25.207612196639207,0.0,0.0,0.15710412704147103
2030-01-01 14:00:00,0.0,0.0,1.785515293048327,38.32808401018293,0.0,0.0,0.0
2030-01-01 15:00:00,0.0,0.0,2.0162589378271463,37.85357209603332,0.0,0.0,0.0
2030-01-01 16:00:00,0.0,0.0,2.2348799647545956,37.020510671188404,0.0,0.0,0.0
2030-01-01 17:00:00,0.0,0.0,2.0697288696391323,36.215784572056336,0.0,0.0,0.0
2030-01-01 18:00:00,0.0,0.0,1.8043008288112095,37.01810127679315,0.0,0.0,0.0
2030-01-01 19:00:00,0.0,0.0,1.6198626454564262,37.57424151286668,0.0,0.0,0.0
2030-01-01 20:00:00,0.0,0.0,1.4919567334264408,38.65988448539171,0.0,0.0,0.0
2030-01-01 21:00:00,0.0,0.0,1.5020647231578197,39.18425352010799,0.0,0.0,0.0
2030-01-01 22:00:00,0.0,0.0,1.2116752830759565,31.60888525248215,0.0,0.0,0.0
2030-01-01 23:00:00,0.0,0.0,0.9599721278564106,25.042723292963505,0.0,0.0,2.5110892112252543
2030-01-02 00:00:00,0.0,0.0,0.9526039912118074,24.850511246570484,0.0,0.0,0.31918672802204995
2030-01-02 01:00:00,0.0,0.0,1.1385822909896777,29.70211366781251,0.0,0.0,0.0
