index,zone,annual_mean_mw,annual_heat_mean_mw,existing_gas_boiler_mw,installed_heat_pump_mw,allow_heat_pump,heat_pump_cop,gas_boiler_efficiency,lat,lon,enabled
0,punta_arenas_centro,38,20,28,0,True,3,0.9,-53.163,-70.917,True
1,cabo_negro,0,0,0,0,False,3,0.9,-52.966,-70.829,True
