generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count,scenario
geo_fixed,waikato,geo_fixed,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,1,Constraint
geo_flexible,waikato,geo_flexible,5840454.597624,0.000000,0.300000,1215.400000,0.000000,2026,2026,,flexible,1,Constraint
hydro_flexible,waikato,hydro_flexible,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,1,Constraint
solar_flexible,waikato,solar_flexible,1217704.280240,0.000000,1.000000,1357.000000,0.000000,2025,2025,,flexible,1,Constraint
thermal_other_flexible,waikato,thermal_other_flexible,,27.139750,0.300000,39.600000,0.000000,,,,flexible,1,Constraint
wind_fixed,waikato,wind_fixed,2407900.118053,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,1,Constraint
wind_flexible,waikato,wind_flexible,2343734.134948,0.000000,1.000000,1119.400000,0.000000,2025,2025,,flexible,1,Constraint
solar_flexible,wellington,solar_flexible,1217401.301575,0.000000,1.000000,763.000000,0.000000,2050,2050,,flexible,1,Constraint
wind_flexible,wellington,wind_flexible,1979751.978563,0.000000,1.000000,502.600000,0.000000,,,,flexible,1,Constraint
hydro_flexible,west_coast,hydro_flexible,5838551.002870,0.000000,1.000000,190.000000,0.000000,,,,flexible,2,Constraint
wind_flexible,west_coast,wind_flexible,2315038.353296,0.000000,1.000000,75.000000,0.000000,,,,flexible,1,Constraint
gas_flexible,auckland,gas_flexible,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,1,Environmental
solar_flexible,auckland,solar_flexible,1255336.365541,0.000000,1.000000,1774.000000,0.000000,2025,2025,,flexible,1,Environmental
thermal_other_flexible,auckland,thermal_other_flexible,,11.308229,1.000000,0.000000,0.000000,,,,flexible,1,Environmental
wind_flexible,auckland,wind_flexible,2543480.506397,0.000000,1.000000,460.000000,0.000000,2027,2027,,flexible,1,Environmental
geo_flexible,bay_of_plenty,geo_flexible,6612895.735208,0.000000,0.300000,333.500000,0.000000,2030,2030,,flexible,1,Environmental
hydro_flexible,bay_of_plenty,hydro_flexible,,0.000000,1.000000,172.900000,0.000000,,,,flexible,1,Environmental
solar_fixed,bay_of_plenty,solar_fixed,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,1,Environmental
solar_flexible,bay_of_plenty,solar_flexible,1164839.497625,0.000000,1.000000,764.000000,0.000000,2020,2020,,flexible,1,Environmental
hydro_flexible,canterbury,hydro_flexible,6275195.619014,0.000000,1.000000,2552.300000,0.000000,,,,flexible,3,Environmental
solar_fixed,canterbury,solar_fixed,1530920.869565,0.000000,1.000000,63.000000,0.000000,2024,,2024,fixed,1,Environmental
solar_flexible,canterbury,solar_flexible,1087621.333892,0.000000,1.000000,4006.000000,0.000000,2020,2020,,flexible,1,Environmental
thermal_other_flexible,canterbury,thermal_other_flexible,2485689.015489,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,1,Environmental
wind_flexible,canterbury,wind_flexible,2159975.382605,0.000000,1.000000,470.600000,0.000000,2025,2025,,flexible,1,Environmental
diesel_flexible,hawkes_bay,diesel_flexible,,48.130651,0.327273,155.000000,0.000000,,,,flexible,1,Environmental
hydro_flexible,hawkes_bay,hydro_flexible,,0.000000,1.000000,138.000000,0.000000,,,,flexible,1,Environmental
solar_fixed,hawkes_bay,solar_fixed,1409841.185396,0.000000,1.000000,70.000000,0.000000,2024,,2024,fixed,1,Environmental
solar_flexible,hawkes_bay,solar_flexible,1134854.596457,0.000000,1.000000,583.000000,0.000000,2025,2025,,flexible,1,Environmental
wind_fixed,hawkes_bay,wind_fixed,2479818.246401,0.000000,1.000000,176.000000,0.000000,2024,,2024,fixed,1,Environmental
wind_flexible,hawkes_bay,wind_flexible,2243555.852291,0.000000,1.000000,475.000000,0.000000,,,,flexible,1,Environmental
hydro_flexible,manawatu_whanganui,hydro_flexible,,0.000000,1.000000,39.000000,0.000000,,,,flexible,1,Environmental
solar_flexible,manawatu_whanganui,solar_flexible,1174159.557565,0.000000,1.000000,974.000000,0.000000,2024,2024,,flexible,1,Environmental
wind_flexible,manawatu_whanganui,wind_flexible,2337570.860967,0.000000,1.000000,2419.150000,0.000000,2024,2024,,flexible,1,Environmental
hydro_flexible,marlborough,hydro_flexible,5279244.692933,0.000000,1.000000,72.000000,0.000000,,,,flexible,1,Environmental
solar_flexible,marlborough,solar_flexible,1477902.838083,0.000000,1.000000,205.000000,0.000000,2020,2020,,flexible,1,Environmental
wind_flexible,marlborough,wind_flexible,2103130.223255,0.000000,1.000000,125.000000,0.000000,,,,flexible,1,Environmental
hydro_flexible,nelson,hydro_flexible,,0.000000,1.000000,32.000000,0.000000,,,,flexible,1,Environmental
solar_flexible,nelson,solar_flexible,988076.457391,0.000000,1.000000,130.000000,0.000000,,,,flexible,1,Environmental
diesel_flexible,northland,diesel_flexible,,50.898764,0.330094,9.000000,0.000000,,,,flexible,1,Environmental
gas_flexible,northland,gas_flexible,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,1,Environmental
geo_flexible,northland,geo_flexible,9104553.414634,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,1,Environmental
solar_fixed,northland,solar_fixed,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,1,Environmental
solar_flexible,northland,solar_flexible,1117299.167043,0.000000,1.000000,585.700000,0.000000,2024,2024,,flexible,1,Environmental
wind_flexible,northland,wind_flexible,2153767.133259,0.000000,1.000000,1323.000000,0.000000,2024,2024,,flexible,1,Environmental
hydro_flexible,otago,hydro_flexible,5811325.716683,0.000000,1.000000,1581.000000,0.000000,,,,flexible,3,Environmental
solar_flexible,otago,solar_flexible,1145798.494019,0.000000,1.000000,1919.000000,0.000000,2020,2020,,flexible,1,Environmental
thermal_other_flexible,otago,thermal_other_flexible,2485689.015489,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,1,Environmental
wind_flexible,otago,wind_flexible,2423315.198309,0.000000,1.000000,924.000000,0.000000,2028,2028,,flexible,1,Environmental
hydro_flexible,southland,hydro_flexible,,0.000000,1.000000,800.000000,0.000000,,,,flexible,1,Environmental
solar_flexible,southland,solar_flexible,1218174.991513,0.000000,1.000000,500.000000,0.000000,2025,2025,,flexible,1,Environmental
wind_flexible,southland,wind_flexible,2337743.251636,0.000000,1.000000,991.000000,0.000000,2026,2026,,flexible,1,Environmental
gas_flexible,taranaki,gas_flexible,1213001.596675,18.136248,0.401562,994.600000,0.000000,2025,2025,,flexible,4,Environmental
