Scenario,Region,Tech,TechName,Capacity (MW),Heat Rate (GJ/GWh),Variable operating costs (NZD/MWh),Fixed operating costs (NZD/kW/year),Fuel delivery costs (NZD/GJ),Capital cost (NZD/kW),Connection cost (NZD $m),Total Capital costs (NZD $m),Earliest Commissioning Year,Fixed Commissioning Year,Plants grouped
Constraint,Otago,HydSC,"Hydro, schedulable",839.000000,3600.000000,0.000000,61.884357,0.000000,,,,,,2
Constraint,Otago,Solar,Solar,879.000000,3600.000000,0.000000,22.496057,0.000000,1200.862255,185.691174,1241.249096,2025,,5
Constraint,Otago,Wind,Wind,774.000000,3600.000000,0.000000,48.260955,0.000000,2606.071862,145.729444,2069.010479,2028,,4
Constraint,Southland,HydSC,"Hydro, schedulable",800.000000,3600.000000,0.000000,35.339084,0.000000,,,,,,1
Constraint,Southland,Solar,Solar,260.000000,3600.000000,0.000000,23.558811,0.000000,1311.732517,69.410000,410.460454,2025,,2
Constraint,Southland,Wind,Wind,891.000000,3600.000000,0.000000,49.189898,0.000000,2516.869379,153.556312,2141.883121,2026,,8
Constraint,Taranaki,CCGT,Combined cycle gas turbine,380.000000,7700.000000,6.125291,48.295562,0.518294,,,,,,1
Constraint,Taranaki,GasCog,"Cogeneration, gas-fired",95.000000,9300.000000,5.773787,46.837345,1.322268,,,,,,2
Constraint,Taranaki,GasPkr,"Peaker, gas-fired OCGT",510.000000,10089.156863,11.534579,19.054921,1.250465,1213.001597,13.192934,134.493094,2025,,4
Constraint,Taranaki,HydSC,"Hydro, schedulable",33.000000,3600.000000,0.000000,76.402752,0.000000,,,,,,1
Constraint,Taranaki,OCGT,Open cycle gas turbine,9.600000,11600.000000,16.726756,11.779405,0.000000,,,,,,1
Constraint,Taranaki,Solar,Solar,581.000000,3600.000000,0.000000,23.215803,0.000000,1182.868426,187.676347,874.922902,2040,,7
Constraint,Taranaki,Wind,Wind,733.000000,3600.000000,0.000000,48.575183,0.000000,2342.362157,132.883473,1538.300767,,,4
Constraint,Waikato,CCGT,Combined cycle gas turbine,403.000000,7400.000000,6.125291,48.295562,1.319293,,,,,,1
Constraint,Waikato,Coal,Coal,400.000000,10900.000000,13.664110,96.591125,0.883455,,,,,,2
Constraint,Waikato,GasPkr,"Peaker, gas-fired OCGT",300.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,39.578802,403.479281,2025,,3
Constraint,Waikato,Geo,Geothermal,203.400000,12000.000000,0.000000,230.789404,0.000000,5460.725829,42.664431,1153.376064,,2024,2
Constraint,Waikato,Geo,Geothermal,1215.400000,12000.000000,0.000000,217.442776,0.000000,5840.454598,123.868031,2565.178053,2026,,17
Constraint,Waikato,HydSC,"Hydro, schedulable",1455.500000,3600.000000,0.000000,67.460618,0.000000,,,,,,2
Constraint,Waikato,OCGT,Open cycle gas turbine,510.800000,11461.765857,12.814277,22.187160,1.219671,1528.758953,5.889703,556.242926,,,4
Constraint,Waikato,OthCog,"Cogeneration, other",39.600000,12000.000000,11.308229,82.455838,1.319293,,,,,,1
Constraint,Waikato,Solar,Solar,1357.000000,3600.000000,0.000000,23.558811,0.000000,1217.704280,317.652486,1970.077195,2025,,9
Constraint,Waikato,Wind,Wind,100.000000,3600.000000,0.000000,48.531150,0.000000,2407.900118,18.411211,259.201222,,2025,1
Constraint,Waikato,Wind,Wind,1119.400000,3600.000000,0.000000,48.523700,0.000000,2343.734135,318.456226,2791.095738,2025,,8
Constraint,Wellington,Solar,Solar,763.000000,3600.000000,0.000000,23.558811,0.000000,1217.401302,171.425446,1100.302639,2050,,6
Constraint,Wellington,Wind,Wind,502.600000,3600.000000,0.000000,48.643835,0.000000,1979.751979,66.691404,660.616998,,,3
Constraint,West Coast,HydPK,"Hydro, peaking",46.000000,3600.000000,0.000000,75.707624,0.000000,5258.472733,7.939981,249.829726,,,1
Constraint,West Coast,HydRR,"Hydro, run of river",144.000000,3600.000000,0.000000,88.807011,0.000000,6023.853783,36.523911,903.958856,,,4
Constraint,West Coast,Wind,Wind,75.000000,3600.000000,0.000000,47.541680,0.000000,2315.038353,27.610926,201.238803,,,1
Environmental,Auckland,GasPkr,"Peaker, gas-fired OCGT",300.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,39.578802,403.479281,2025,,3
Environmental,Auckland,OthCog,"Cogeneration, other",0.000000,1000.000000,11.308229,96.591125,0.000000,,,,,,1
Environmental,Auckland,Solar,Solar,1774.000000,3600.000000,0.000000,23.558811,0.000000,1255.336366,501.105891,2728.072603,2025,,12
Environmental,Auckland,Wind,Wind,460.000000,3600.000000,0.000000,49.983090,0.000000,2543.480506,164.505247,1334.506280,2027,,4
Environmental,Bay of Plenty,Geo,Geothermal,333.500000,12000.000000,0.000000,223.808703,0.000000,6612.895735,97.180095,1313.952910,2030,,8
Environmental,Bay of Plenty,HydSC,"Hydro, schedulable",172.900000,3600.000000,0.000000,116.463264,0.000000,,,,,,2
Environmental,Bay of Plenty,Solar,Solar,432.000000,3600.000000,0.000000,23.558811,0.000000,1080.601848,28.810000,461.050739,,2024,4
Environmental,Bay of Plenty,Solar,Solar,764.000000,3600.000000,0.000000,23.558811,0.000000,1164.839498,234.846179,1124.783555,2020,,7
Environmental,Canterbury,BioRecip,Reciprocating Biogas engine,10.000000,11400.000000,16.012294,21.173282,0.000000,2485.689015,0.661665,25.518555,2035,,1
Environmental,Canterbury,HydPK,"Hydro, peaking",35.000000,3600.000000,0.000000,76.300527,0.000000,4044.096805,5.160987,146.704376,,,1
Environmental,Canterbury,HydRR,"Hydro, run of river",708.000000,3600.000000,0.000000,65.640251,0.000000,6385.490052,74.381739,4595.308695,,,6
Environmental,Canterbury,HydSC,"Hydro, schedulable",1809.300000,3600.000000,0.000000,63.055332,0.000000,,,,,,3
Environmental,Canterbury,Solar,Solar,63.000000,3600.000000,0.000000,23.558811,0.000000,1530.920870,34.570000,131.018015,,2024,1
Environmental,Canterbury,Solar,Solar,4006.000000,3600.000000,0.000000,23.232344,0.000000,1087.621334,944.094921,5301.105984,2020,,25
Environmental,Canterbury,Wind,Wind,470.600000,3600.000000,0.000000,50.024822,0.000000,2159.975383,182.653995,1199.138410,2025,,4
Environmental,Hawke's Bay,DslPkr,"Peaker, diesel-fired OCGT",155.000000,11000.000000,13.664110,27.092632,3.133322,,,,,,1
Environmental,Hawke's Bay,HydSC,"Hydro, schedulable",138.000000,3600.000000,0.000000,75.584954,0.000000,,,,,,1
Environmental,Hawke's Bay,Solar,Solar,70.000000,3600.000000,0.000000,23.558811,0.000000,1409.841185,36.645730,135.334613,,2024,1
Environmental,Hawke's Bay,Solar,Solar,583.000000,3600.000000,0.000000,23.329143,0.000000,1134.854596,129.620654,791.240884,2025,,5
Environmental,Hawke's Bay,Wind,Wind,176.000000,3600.000000,0.000000,41.239698,0.000000,2479.818246,21.518302,457.966314,,2024,1
Environmental,Hawke's Bay,Wind,Wind,475.000000,3600.000000,0.000000,52.741978,0.000000,2243.555852,362.558320,1428.247350,,,4
Environmental,Manawatū-Whanganui,HydSC,"Hydro, schedulable",39.000000,3600.000000,0.000000,76.085855,0.000000,,,,,,1
Environmental,Manawatū-Whanganui,Solar,Solar,974.000000,3600.000000,0.000000,23.558811,0.000000,1174.159558,294.334455,1437.965864,2024,,11
Environmental,Manawatū-Whanganui,Wind,Wind,2419.150000,3600.000000,0.000000,49.503873,0.000000,2337.570861,578.578539,5021.131961,2024,,19
Environmental,Marlborough,HydRR,"Hydro, run of river",72.000000,3600.000000,0.000000,74.317368,0.000000,5279.244693,13.881733,393.987351,,,1
Environmental,Marlborough,Solar,Solar,205.000000,3600.000000,0.000000,23.133502,0.000000,1477.902838,77.530000,380.500082,2020,,3
Environmental,Marlborough,Wind,Wind,125.000000,3600.000000,0.000000,49.645482,0.000000,2103.130223,45.821887,308.713165,,,2
Environmental,Nelson,HydSC,"Hydro, schedulable",32.000000,3600.000000,0.000000,76.464087,0.000000,,,,,,1
Environmental,Nelson,Solar,Solar,130.000000,3600.000000,0.000000,23.558811,0.000000,988.076457,31.690000,160.139939,,,1
Environmental,Northland,DslPkr,"Peaker, diesel-fired OCGT",9.000000,10906.000000,16.726756,22.380870,3.133322,,,,,,1
Environmental,Northland,GasPkr,"Peaker, gas-fired OCGT",100.000000,11750.000000,13.428522,5.418526,2.650366,1213.001597,13.192934,134.493094,2030,,1
Environmental,Northland,Geo,Geothermal,142.000000,12000.000000,0.000000,223.808703,0.000000,9104.553415,53.007324,799.580704,2026,,5
