POC,Nwk_Code,Generation_Type,zone,notes
GLN0332,CTCT,GG,auckland,Glenbrook; assigned to Auckland model zone.
HTU0331,WAIP,GN,waikato,Waipa Networks connection; assigned to Waikato model zone.
INV0661,TPCO,GN,southland,Invercargill; assigned to Southland model zone.
KAW2201,TAOM,GG,bay_of_plenty,Kawerau; assigned to Bay of Plenty model zone.
TNG0111,WNST,GN,manawatu_whanganui,Tangiwai/Ruapehu area; assigned to Manawatu-Whanganui model zone.
