POC,Nwk_Code,Generation_Type,zone,annual_energy_gwh
NPK0331,LINE,GN,waikato,15.307281
NSY0331,OTPO,GN,otago,178.096285
NWD0661,ORON,GN,canterbury,153.269866
OAM0331,WATA,GN,otago,217.536230
OHA2201,MERI,GG,canterbury,0.607268
OHB2201,MERI,GG,otago,0.520130
OHC2201,MERI,GG,otago,0.511529
OHK2201,MRPL,GG,bay_of_plenty,2.080400
OKI2201,CTCT,GG,bay_of_plenty,0.682080
OKN0111,LINE,GN,waikato,19.506662
OKN0111,POCO,GN,manawatu_whanganui,7.852958
ONG0331,LINE,GN,waikato,15.914269
OPK0331,POCO,GN,taranaki,48.120628
ORO1101,BUEL,GN,west_coast,19.287050
ORO1102,BUEL,GN,west_coast,19.705651
OTA0221,VECT,GN,auckland,314.259861
OTI0111,WPOW,GN,west_coast,1.368865
OWH0111,HAWK,GN,bay_of_plenty,58.623136
PAK0331,VECT,GN,auckland,630.454272
PAO1101,POCO,GN,waikato,222.700533
PEN0221,VECT,GN,auckland,185.811392
PEN0251,NZRN,GD,auckland,11.874161
PEN0331,SHPK,GD,auckland,0.368378
PEN0331,VECT,GN,auckland,1285.873691
PEN1101,VECT,GN,auckland,595.549803
PNI0331,CKHK,GN,wellington,70.047529
PPI2201,CTCT,GG,waikato,0.062210
PRM0331,ELEC,GN,wellington,261.137690
RDF0331,HAWK,GN,hawkes_bay,349.127238
RFN1101,WPOW,GN,west_coast,14.642678
RFN1102,WPOW,GN,west_coast,14.315597
ROS0221,VECT,GN,auckland,448.458364
ROS1101,VECT,GN,auckland,243.749254
ROT0111,HAWK,GN,bay_of_plenty,115.038576
ROT0331,HAWK,GN,bay_of_plenty,224.511838
ROT1101,CNIR,GG,bay_of_plenty,0.001415
ROX2201,CTCT,GG,otago,0.000007
SBK0661,MPOW,GN,canterbury,263.368595
SDN0331,DUNE,GN,otago,339.801976
SFD0331,POCO,GN,taranaki,134.110598
SFD2201,CTCT,GG,taranaki,3.700796
STK0331,NELS,GN,nelson,49.592306
STK0331,TASM,GN,nelson,580.293579
STK0661,TASM,GN,nelson,28.230009
STU0111,ALPE,GN,canterbury,67.046813
SVL0331,VECT,GN,auckland,430.741461
SWN0251,NZRN,GD,auckland,19.620488
TAB0331,HAWK,GN,waikato,1.101717
TAB2201,CTCT,GG,waikato,1.648470
TAK0331,VECT,GN,auckland,557.755897
TGA0111,POCO,GN,bay_of_plenty,102.466275
TGA0331,POCO,GN,bay_of_plenty,255.676665
THI2201,CTCT,GG,waikato,0.150706
TIM0111,ALPE,GN,canterbury,372.547937
TKA0111,GENE,GG,canterbury,0.031797
TKA0331,ALPE,GN,canterbury,26.082462
TKB2201,GENE,GG,canterbury,0.000077
TKR0331,CKHK,GN,wellington,421.699628
TKU0331,GENE,GD,waikato,0.704581
TKU0331,LINE,GN,waikato,35.482750
TKU2201,GENE,GG,waikato,1.060249
TMI0331,POCO,GN,bay_of_plenty,229.552450
TMK0331,ALPE,GN,canterbury,296.476187
TMN0551,NZRN,GD,waikato,2.062701
TMU0111,WAIP,GN,waikato,211.408950
TNG0111,WNST,GN,manawatu_whanganui,0.000000
TNG0551,NZRN,GD,waikato,2.223051
TRK0111,HAWK,GN,bay_of_plenty,36.680195
TUI1101,EAST,GN,hawkes_bay,290.916411
TUI1101,GENE,GG,hawkes_bay,0.000000
TWC2201,TRPG,GN,manawatu_whanganui,0.398391
TWH0331,WAIK,GN,waikato,295.262732
TWI2201,NZAS,GN,southland,4785.624712
TWZ0331,ALPE,GN,canterbury,18.216297
TWZ0331,MERI,GD,canterbury,4.708359
TWZ0331,WATA,GN,otago,16.114544
UHT0331,CKHK,GN,wellington,137.984836
WAI0111,HEDL,GN,bay_of_plenty,56.764227
WAI0331,LODE,GG,bay_of_plenty,0.155324
WAI0501,HEDL,GN,bay_of_plenty,6.629651
WDV0111,SCAN,GN,hawkes_bay,13.622604
WDV1101,MERI,GG,hawkes_bay,0.758342
WEL0331,VECT,GN,auckland,183.228453
WGN0331,POCO,GN,manawatu_whanganui,153.770816
WHI0111,PANP,GD,hawkes_bay,332.364996
WHI2201,CTCT,GG,hawkes_bay,1.024096
WHU0331,POCO,GN,waikato,184.144730
WIL0331,CKHK,GN,wellington,69.459260
WIR0331,VECT,GN,auckland,482.478623
WKM2201,MRPL,GG,waikato,0.000000
WKM2201,TUAR,GN,waikato,0.096856
WKO0331,POCO,GN,waikato,209.165254
WPA2201,MRPL,GG,waikato,0.094100
WPR0331,MPOW,GN,canterbury,35.044082
WPR0661,MPOW,GN,canterbury,21.793688
WPW0331,CHBP,GN,hawkes_bay,127.867527
WRD0331,VECT,GN,auckland,364.000373
WRK0331,HAWK,GN,waikato,3.869759
WRK2201,CTCT,GG,waikato,0.000000
WTK0111,MERI,GG,otago,0.000000
WTK0111,WATA,GN,otago,37.426812
WTK0331,WATA,GN,otago,0.230640
WTU0331,HAWK,GN,hawkes_bay,352.665271
WVY0111,POCO,GN,manawatu_whanganui,22.253185
WVY1101,WPWF,GG,manawatu_whanganui,0.491089
WWD1102,MERI,GG,wellington,0.498912
WWD1103,MERI,GG,wellington,0.262453
