Trading_Date,POC,Nwk_Code,Generation_Type,nrr_id,nrr_name,mapping_stage,zone
2025-10-22,KAW2201,TAOM,GG,,,,
2025-10-23,KAW2201,TAOM,GG,,,,
2025-10-24,KAW2201,TAOM,GG,,,,
2025-10-25,KAW2201,TAOM,GG,,,,
2025-10-26,KAW2201,TAOM,GG,,,,
2025-10-27,KAW2201,TAOM,GG,,,,
2025-10-28,KAW2201,TAOM,GG,,,,
2025-10-29,KAW2201,TAOM,GG,,,,
2025-10-30,KAW2201,TAOM,GG,,,,
2025-10-31,KAW2201,TAOM,GG,,,,
2025-10-11,GLN0332,CTCT,GG,,,,
2025-11-11,GLN0332,CTCT,GG,,,,
2025-12-11,GLN0332,CTCT,GG,,,,
2025-11-13,GLN0332,CTCT,GG,,,,
2025-11-14,GLN0332,CTCT,GG,,,,
2025-11-15,GLN0332,CTCT,GG,,,,
2025-11-16,GLN0332,CTCT,GG,,,,
2025-11-17,GLN0332,CTCT,GG,,,,
2025-11-18,GLN0332,CTCT,GG,,,,
2025-11-19,GLN0332,CTCT,GG,,,,
2025-11-20,GLN0332,CTCT,GG,,,,
2025-11-21,GLN0332,CTCT,GG,,,,
2025-11-22,GLN0332,CTCT,GG,,,,
2025-11-23,GLN0332,CTCT,GG,,,,
2025-11-24,GLN0332,CTCT,GG,,,,
2025-11-25,GLN0332,CTCT,GG,,,,
2025-11-26,GLN0332,CTCT,GG,,,,
2025-11-27,GLN0332,CTCT,GG,,,,
2025-11-28,GLN0332,CTCT,GG,,,,
2025-11-29,GLN0332,CTCT,GG,,,,
2025-11-30,GLN0332,CTCT,GG,,,,
2025-01-11,HTU0331,WAIP,GN,,,,
2025-02-11,HTU0331,WAIP,GN,,,,
2025-03-11,HTU0331,WAIP,GN,,,,
2025-04-11,HTU0331,WAIP,GN,,,,
2025-01-11,INV0661,TPCO,GN,,,,
2025-02-11,INV0661,TPCO,GN,,,,
2025-03-11,INV0661,TPCO,GN,,,,
2025-04-11,INV0661,TPCO,GN,,,,
2025-05-11,INV0661,TPCO,GN,,,,
2025-06-11,INV0661,TPCO,GN,,,,
2025-07-11,INV0661,TPCO,GN,,,,
2025-08-11,INV0661,TPCO,GN,,,,
2025-01-11,KAW2201,TAOM,GG,,,,
2025-02-11,KAW2201,TAOM,GG,,,,
2025-03-11,KAW2201,TAOM,GG,,,,
2025-04-11,KAW2201,TAOM,GG,,,,
2025-05-11,KAW2201,TAOM,GG,,,,
2025-06-11,KAW2201,TAOM,GG,,,,
2025-07-11,KAW2201,TAOM,GG,,,,
2025-08-11,KAW2201,TAOM,GG,,,,
2025-09-11,KAW2201,TAOM,GG,,,,
2025-10-11,KAW2201,TAOM,GG,,,,
2025-11-11,KAW2201,TAOM,GG,,,,
2025-12-11,KAW2201,TAOM,GG,,,,
2025-11-13,KAW2201,TAOM,GG,,,,
2025-11-14,KAW2201,TAOM,GG,,,,
2025-11-15,KAW2201,TAOM,GG,,,,
2025-11-16,KAW2201,TAOM,GG,,,,
2025-11-17,KAW2201,TAOM,GG,,,,
2025-11-18,KAW2201,TAOM,GG,,,,
2025-11-19,KAW2201,TAOM,GG,,,,
2025-11-20,KAW2201,TAOM,GG,,,,
2025-11-21,KAW2201,TAOM,GG,,,,
2025-11-22,KAW2201,TAOM,GG,,,,
2025-11-23,KAW2201,TAOM,GG,,,,
2025-11-24,KAW2201,TAOM,GG,,,,
2025-11-25,KAW2201,TAOM,GG,,,,
2025-11-26,KAW2201,TAOM,GG,,,,
2025-11-27,KAW2201,TAOM,GG,,,,
2025-11-28,KAW2201,TAOM,GG,,,,
2025-11-29,KAW2201,TAOM,GG,,,,
2025-11-30,KAW2201,TAOM,GG,,,,
2025-10-12,GLN0332,CTCT,GG,,,,
2025-11-12,GLN0332,CTCT,GG,,,,
2025-12-12,GLN0332,CTCT,GG,,,,
2025-12-13,GLN0332,CTCT,GG,,,,
2025-12-14,GLN0332,CTCT,GG,,,,
2025-12-15,GLN0332,CTCT,GG,,,,
2025-12-16,GLN0332,CTCT,GG,,,,
2025-12-17,GLN0332,CTCT,GG,,,,
2025-12-18,GLN0332,CTCT,GG,,,,
2025-12-19,GLN0332,CTCT,GG,,,,
2025-12-20,GLN0332,CTCT,GG,,,,
2025-12-21,GLN0332,CTCT,GG,,,,
2025-12-22,GLN0332,CTCT,GG,,,,
2025-12-23,GLN0332,CTCT,GG,,,,
2025-12-24,GLN0332,CTCT,GG,,,,
2025-12-25,GLN0332,CTCT,GG,,,,
2025-12-26,GLN0332,CTCT,GG,,,,
2025-12-27,GLN0332,CTCT,GG,,,,
2025-12-28,GLN0332,CTCT,GG,,,,
2025-12-29,GLN0332,CTCT,GG,,,,
2025-12-30,GLN0332,CTCT,GG,,,,
2025-12-31,GLN0332,CTCT,GG,,,,
2025-01-12,HTU0331,WAIP,GN,,,,
2025-02-12,HTU0331,WAIP,GN,,,,
2025-03-12,HTU0331,WAIP,GN,,,,
2025-04-12,HTU0331,WAIP,GN,,,,
2025-01-12,INV0661,TPCO,GN,,,,
2025-02-12,INV0661,TPCO,GN,,,,
2025-03-12,INV0661,TPCO,GN,,,,
2025-04-12,INV0661,TPCO,GN,,,,
2025-05-12,INV0661,TPCO,GN,,,,
2025-06-12,INV0661,TPCO,GN,,,,
2025-07-12,INV0661,TPCO,GN,,,,
2025-08-12,INV0661,TPCO,GN,,,,
2025-01-12,KAW2201,TAOM,GG,,,,
2025-02-12,KAW2201,TAOM,GG,,,,
2025-03-12,KAW2201,TAOM,GG,,,,
2025-04-12,KAW2201,TAOM,GG,,,,
2025-05-12,KAW2201,TAOM,GG,,,,
2025-06-12,KAW2201,TAOM,GG,,,,
2025-07-12,KAW2201,TAOM,GG,,,,
2025-08-12,KAW2201,TAOM,GG,,,,
2025-09-12,KAW2201,TAOM,GG,,,,
2025-10-12,KAW2201,TAOM,GG,,,,
2025-11-12,KAW2201,TAOM,GG,,,,
2025-12-12,KAW2201,TAOM,GG,,,,
2025-12-13,KAW2201,TAOM,GG,,,,
2025-12-14,KAW2201,TAOM,GG,,,,
2025-12-15,KAW2201,TAOM,GG,,,,
2025-12-16,KAW2201,TAOM,GG,,,,
2025-12-17,KAW2201,TAOM,GG,,,,
2025-12-18,KAW2201,TAOM,GG,,,,
2025-12-19,KAW2201,TAOM,GG,,,,
2025-12-20,KAW2201,TAOM,GG,,,,
2025-12-21,KAW2201,TAOM,GG,,,,
2025-12-22,KAW2201,TAOM,GG,,,,
2025-12-23,KAW2201,TAOM,GG,,,,
2025-12-24,KAW2201,TAOM,GG,,,,
2025-12-25,KAW2201,TAOM,GG,,,,
2025-12-26,KAW2201,TAOM,GG,,,,
2025-12-27,KAW2201,TAOM,GG,,,,
2025-12-28,KAW2201,TAOM,GG,,,,
2025-12-29,KAW2201,TAOM,GG,,,,
2025-12-30,KAW2201,TAOM,GG,,,,
2025-12-31,KAW2201,TAOM,GG,,,,
