generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count
geo_flexible,waikato,geo_flexible,5557710.610973,0.000000,0.300000,1421.400000,0.000000,2026,2026,,flexible,1
hydro_flexible,waikato,hydro_flexible,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,1
solar_flexible,waikato,solar_flexible,1064494.226643,0.000000,1.000000,2357.000000,0.000000,2020,2020,,flexible,1
thermal_other_flexible,waikato,thermal_other_flexible,,27.139750,0.300000,39.600000,0.000000,,,,flexible,1
wind_fixed,waikato,wind_fixed,1949252.476519,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,1
wind_flexible,waikato,wind_flexible,1926012.155222,0.000000,1.000000,1769.400000,0.000000,2025,2025,,flexible,1
wood_fixed,waikato,wood_fixed,,23.293774,0.330275,480.000000,0.000000,2032,,2032,fixed,1
solar_flexible,wellington,solar_flexible,998563.938487,0.000000,1.000000,1163.000000,0.000000,2025,2025,,flexible,1
wind_flexible,wellington,wind_flexible,2005310.149050,0.000000,1.000000,867.600000,0.000000,,,,flexible,1
hydro_flexible,west_coast,hydro_flexible,5089072.549719,0.000000,1.000000,190.000000,0.000000,,,,flexible,2
solar_flexible,west_coast,solar_flexible,1192546.673913,0.000000,1.000000,40.000000,0.000000,2030,2030,,flexible,1
wind_flexible,west_coast,wind_flexible,1874078.666954,0.000000,1.000000,75.000000,0.000000,,,,flexible,1
