generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,tech,tech_name,region,fixed_operating_cost_nzd_per_kw_year,fuel_delivery_cost_nzd_per_gj,heat_rate_gj_per_gwh,connection_cost_nzd_m,total_capital_costs_nzd_m,plants_grouped
gaspkr,auckland,gaspkr,1213001.596675,44.570325,0.306383,300.000000,0.000000,2025,2025,,flexible,GasPkr,"Peaker, gas-fired OCGT",Auckland,5.418526,2.650366,11750.000000,39.578802,403.479281,3
othcog,auckland,othcog,,11.308229,1.000000,0.000000,0.000000,,,,flexible,OthCog,"Cogeneration, other",Auckland,96.591125,0.000000,1000.000000,,,1
solar,auckland,solar,1099972.888856,0.000000,1.000000,1774.000000,0.000000,2025,2025,,flexible,Solar,Solar,Auckland,23.558811,0.000000,3600.000000,501.105891,2452.457796,12
wind,auckland,wind,2224237.068351,0.000000,1.000000,460.000000,0.000000,2027,2027,,flexible,Wind,Wind,Auckland,49.983090,0.000000,3600.000000,164.505247,1187.654298,4
geo,bay_of_plenty,geo,5947224.944036,0.000000,0.300000,333.500000,0.000000,2030,2030,,flexible,Geo,Geothermal,Bay of Plenty,223.808703,0.000000,12000.000000,97.180095,1191.469484,8
hydsc,bay_of_plenty,hydsc,,0.000000,1.000000,172.900000,0.000000,,,,flexible,HydSC,"Hydro, schedulable",Bay of Plenty,116.463264,0.000000,3600.000000,,,2
solar,bay_of_plenty,solar,1080601.847826,0.000000,1.000000,432.000000,0.000000,2024,,2024,fixed,Solar,Solar,Bay of Plenty,23.558811,0.000000,3600.000000,28.810000,461.050739,4
solar,bay_of_plenty,solar,1067791.466393,0.000000,1.000000,764.000000,0.000000,2020,2020,,flexible,Solar,Solar,Bay of Plenty,23.558811,0.000000,3600.000000,234.846179,1050.638859,7
biorecip,canterbury,biorecip,2169235.793804,16.012294,0.315789,10.000000,0.000000,2035,2035,,flexible,BioRecip,Reciprocating Biogas engine,Canterbury,21.173282,0.000000,11400.000000,0.661665,22.354023,1
hydpk,canterbury,hydpk,4044096.805421,0.000000,1.000000,35.000000,0.000000,,,,flexible,HydPK,"Hydro, peaking",Canterbury,76.300527,0.000000,3600.000000,5.160987,146.704376,1
