generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count
solar_flexible,nelson,solar_flexible,1067366.543478,0.000000,1.000000,130.000000,0.000000,,,,flexible,1
diesel_flexible,northland,diesel_flexible,,50.898764,0.330094,9.000000,0.000000,,,,flexible,1
gas_flexible,northland,gas_flexible,1213001.596675,44.570325,0.306383,100.000000,0.000000,2030,2030,,flexible,1
geo_flexible,northland,geo_flexible,9470483.948256,0.000000,0.300000,142.000000,0.000000,2026,2026,,flexible,1
solar_fixed,northland,solar_fixed,1249208.260870,0.000000,1.000000,24.000000,0.000000,2024,,2024,fixed,1
solar_flexible,northland,solar_flexible,1147232.251113,0.000000,1.000000,525.700000,0.000000,2024,2024,,flexible,1
wind_flexible,northland,wind_flexible,2287716.127731,0.000000,1.000000,548.000000,0.000000,2024,2024,,flexible,1
hydro_flexible,otago,hydro_flexible,6153888.206590,0.000000,1.000000,1581.000000,0.000000,,,,flexible,3
solar_flexible,otago,solar_flexible,1200862.255457,0.000000,1.000000,879.000000,0.000000,2025,2025,,flexible,1
thermal_other_flexible,otago,thermal_other_flexible,2679644.215876,16.012294,0.315789,10.000000,0.000000,2030,2030,,flexible,1
wind_flexible,otago,wind_flexible,2606071.862306,0.000000,1.000000,774.000000,0.000000,2028,2028,,flexible,1
hydro_flexible,southland,hydro_flexible,,0.000000,1.000000,800.000000,0.000000,,,,flexible,1
solar_flexible,southland,solar_flexible,1311732.516722,0.000000,1.000000,260.000000,0.000000,2025,2025,,flexible,1
wind_flexible,southland,wind_flexible,2516869.379346,0.000000,1.000000,891.000000,0.000000,2026,2026,,flexible,1
gas_flexible,taranaki,gas_flexible,1213001.596675,18.136248,0.401562,994.600000,0.000000,2025,2025,,flexible,4
hydro_flexible,taranaki,hydro_flexible,,0.000000,1.000000,33.000000,0.000000,,,,flexible,1
solar_flexible,taranaki,solar_flexible,1182868.425986,0.000000,1.000000,581.000000,0.000000,2040,2040,,flexible,1
wind_flexible,taranaki,wind_flexible,2342362.156614,0.000000,1.000000,733.000000,0.000000,,,,flexible,1
coal_flexible,waikato,coal_flexible,,23.293774,0.330275,400.000000,0.000000,,,,flexible,1
gas_flexible,waikato,gas_flexible,1411927.173267,27.566561,0.369422,1213.800000,0.000000,2025,2025,,flexible,3
geo_fixed,waikato,geo_fixed,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,1
geo_flexible,waikato,geo_flexible,5840454.597624,0.000000,0.300000,1215.400000,0.000000,2026,2026,,flexible,1
hydro_flexible,waikato,hydro_flexible,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,1
solar_flexible,waikato,solar_flexible,1217704.280240,0.000000,1.000000,1357.000000,0.000000,2025,2025,,flexible,1
thermal_other_flexible,waikato,thermal_other_flexible,,27.139750,0.300000,39.600000,0.000000,,,,flexible,1
wind_fixed,waikato,wind_fixed,2407900.118053,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,1
wind_flexible,waikato,wind_flexible,2343734.134948,0.000000,1.000000,1119.400000,0.000000,2025,2025,,flexible,1
solar_flexible,wellington,solar_flexible,1217401.301575,0.000000,1.000000,763.000000,0.000000,2050,2050,,flexible,1
wind_flexible,wellington,wind_flexible,1979751.978563,0.000000,1.000000,502.600000,0.000000,,,,flexible,1
hydro_flexible,west_coast,hydro_flexible,5838551.002870,0.000000,1.000000,190.000000,0.000000,,,,flexible,2
wind_flexible,west_coast,wind_flexible,2315038.353296,0.000000,1.000000,75.000000,0.000000,,,,flexible,1
