generator,zone,technology,capital_cost,marginal_cost,efficiency,installed_capacity,p_min_mw,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,source_tech_count
wind_flexible,otago,wind_flexible,2471878.285619,0.000000,1.000000,774.000000,0.000000,2028,2028,,flexible,1
hydro_flexible,southland,hydro_flexible,,0.000000,1.000000,800.000000,0.000000,,,,flexible,1
solar_flexible,southland,solar_flexible,1231779.296656,0.000000,1.000000,260.000000,0.000000,2025,2025,,flexible,1
wind_flexible,southland,wind_flexible,2386080.236569,0.000000,1.000000,891.000000,0.000000,2026,2026,,flexible,1
gas_flexible,taranaki,gas_flexible,1213001.596675,18.136248,0.401562,994.600000,0.000000,2025,2025,,flexible,4
hydro_flexible,taranaki,hydro_flexible,,0.000000,1.000000,33.000000,0.000000,,,,flexible,1
solar_flexible,taranaki,solar_flexible,1110769.779069,0.000000,1.000000,581.000000,0.000000,2040,2040,,flexible,1
wind_flexible,taranaki,wind_flexible,2199589.606115,0.000000,1.000000,733.000000,0.000000,,,,flexible,1
coal_flexible,waikato,coal_flexible,,23.293774,0.330275,400.000000,0.000000,,,,flexible,1
gas_flexible,waikato,gas_flexible,1411927.173267,27.566561,0.369422,1213.800000,0.000000,2025,2025,,flexible,3
geo_fixed,waikato,geo_fixed,5460725.829002,0.000000,0.300000,203.400000,0.000000,2024,,2024,fixed,1
geo_flexible,waikato,geo_flexible,5724472.792182,0.000000,0.300000,1215.400000,0.000000,2026,2026,,flexible,1
hydro_flexible,waikato,hydro_flexible,,0.000000,1.000000,1455.500000,0.000000,,,,flexible,1
solar_flexible,waikato,solar_flexible,1173678.921180,0.000000,1.000000,1357.000000,0.000000,2025,2025,,flexible,1
thermal_other_flexible,waikato,thermal_other_flexible,,27.139750,0.300000,39.600000,0.000000,,,,flexible,1
wind_fixed,waikato,wind_fixed,2261132.872762,0.000000,1.000000,100.000000,0.000000,2025,,2025,fixed,1
wind_flexible,waikato,wind_flexible,2206662.654705,0.000000,1.000000,1119.400000,0.000000,2025,2025,,flexible,1
solar_flexible,wellington,solar_flexible,1143197.793669,0.000000,1.000000,763.000000,0.000000,2050,2050,,flexible,1
wind_flexible,wellington,wind_flexible,1979751.978563,0.000000,1.000000,502.600000,0.000000,,,,flexible,1
hydro_flexible,west_coast,hydro_flexible,5634130.754773,0.000000,1.000000,190.000000,0.000000,,,,flexible,2
wind_flexible,west_coast,wind_flexible,2173931.253667,0.000000,1.000000,75.000000,0.000000,,,,flexible,1
