year,name,bus,carrier,energy_mwh
2040,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,6597.177718476738
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,21.012131612630338
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,0.0
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,275100.0239323234
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,0.0
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,116690.47885024795
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,11501.321330131037
2040,gas_boiler_punta_arenas_1,gas_punta_arenas_1,gas_boiler,6597.177718476738
2040,heat_pump_punta_arenas_1,elec_punta_arenas_1,heat_pump,56580.84668599884
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,7655.740782887529
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,398007.57533727377
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,0.0
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,0.0
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,0.0
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,0.0
2050,gas_supply_punta_arenas_1,gas_punta_arenas_1,natural_gas,0.0
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,10342.807207825816
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,9947.213206681903
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,402788.80270088394
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,44775.19204659846
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,0.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,17551.743059149016
2050,gas_boiler_punta_arenas_1,gas_punta_arenas_1,gas_boiler,0.0
2050,heat_pump_punta_arenas_1,elec_punta_arenas_1,heat_pump,58400.00000000001
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,9567.912147530202
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,390505.10493971576
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,118033.31185628669
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,79209.81690401759
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,55195.30212746089
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,53237.73398050392
