year,name,bus0,bus1,carrier,p_nom_mw,p_nom_opt_mw,efficiency
2025,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,elec_punta_arenas_2,electricity,1000.0,1000.0,1.0
2025,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,elec_punta_arenas_1,electricity,1000.0,1000.0,1.0
2025,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,h2_punta_arenas_2,electrolyzer,0.0,0.0,0.7
2025,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_fuel_cell,0.0,0.0,0.55
2025,h2_turbine_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_turbine,0.0,0.0,0.45
2025,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_punta_arenas_2,uhs_injection,0.0,0.0,0.98
2025,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,h2_punta_arenas_2,uhs_withdrawal,0.0,0.0,0.98
2030,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,elec_punta_arenas_2,electricity,1000.0,1000.0,1.0
2030,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,elec_punta_arenas_1,electricity,1000.0,1000.0,1.0
2030,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,h2_punta_arenas_2,electrolyzer,0.0,0.0,0.7
2030,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_fuel_cell,0.0,0.0,0.55
2030,h2_turbine_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_turbine,0.0,0.0,0.45
2030,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_punta_arenas_2,uhs_injection,0.0,0.0,0.98
2030,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,h2_punta_arenas_2,uhs_withdrawal,0.0,0.0,0.98
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,elec_punta_arenas_2,electricity,1000.0,1000.0,1.0
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,elec_punta_arenas_1,electricity,1000.0,1000.0,1.0
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,h2_punta_arenas_2,electrolyzer,0.0,0.0,0.7
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_fuel_cell,0.0,0.0,0.55
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_turbine,0.0,0.0,0.45
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_punta_arenas_2,uhs_injection,0.0,0.0,0.98
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,h2_punta_arenas_2,uhs_withdrawal,0.0,0.0,0.98
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,elec_punta_arenas_2,electricity,1000.0,1000.0,1.0
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,elec_punta_arenas_1,electricity,1000.0,1000.0,1.0
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,h2_punta_arenas_2,electrolyzer,0.0,14.70364410217305,0.7
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_fuel_cell,0.0,20.091973967364762,0.55
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,elec_punta_arenas_2,h2_turbine,0.0,0.0,0.45
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_punta_arenas_2,uhs_injection,0.0,9.787541837234247,0.98
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,h2_punta_arenas_2,uhs_withdrawal,0.0,19.791164398757886,0.98
