year,name,bus,carrier,e_nom_opt_mwh
2040,h2_store_punta_arenas_2,h2_punta_arenas_2,hydrogen_storage,0.0
2040,uhs_store_punta_arenas_2,uhs_punta_arenas_2,uhs_storage,0.0
2050,h2_store_punta_arenas_2,h2_punta_arenas_2,hydrogen_storage,274.5668460145783
2050,uhs_store_punta_arenas_2,uhs_punta_arenas_2,uhs_storage,4168.908003743527
