year,zone,demand_mwh,peak_mw
2040,punta_arenas_1,333792.00000000006,50.751193465059515
2040,punta_arenas_2,0.0,0.0
2050,punta_arenas_1,332880.0,50.04981185454301
2050,punta_arenas_2,0.0,0.0
