scenario,year,zone,component,demand_type,annual_energy_mwh,mean_mw,max_mw,min_mw
BAU_base,2025,punta_arenas_centro,base_load,electricity,277235.99334375,31.647944445633563,45.45725,17.530111328125
PtX_base,2025,punta_arenas_centro,base_load,electricity,277235.99334375,31.647944445633563,45.45725,17.530111328125
RE_base,2025,punta_arenas_centro,base_load,electricity,277235.99334375,31.647944445633563,45.45725,17.530111328125
RH_base,2025,punta_arenas_centro,base_load,electricity,277235.99334375,31.647944445633563,45.45725,17.530111328125
RT_base,2025,punta_arenas_centro,base_load,electricity,277235.99334375,31.647944445633563,45.45725,17.530111328125
BAU_base,2030,punta_arenas_centro,base_load,electricity,306090.9927669609,34.94189415147955,50.18848603725001,19.35466284526758
PtX_base,2030,punta_arenas_centro,base_load,electricity,306090.9927669609,34.94189415147955,50.18848603725001,19.35466284526758
RE_base,2030,punta_arenas_centro,base_load,electricity,306090.9927669609,34.94189415147955,50.18848603725001,19.35466284526758
RH_base,2030,punta_arenas_centro,base_load,electricity,306090.9927669609,34.94189415147955,50.18848603725001,19.35466284526758
RT_base,2030,punta_arenas_centro,base_load,electricity,306090.9927669609,34.94189415147955,50.18848603725001,19.35466284526758
BAU_base,2040,punta_arenas_centro,base_load,electricity,374089.6276747294,42.5876169939355,61.179458143000005,23.593215872960936
PtX_base,2040,punta_arenas_centro,base_load,electricity,374089.6276747294,42.5876169939355,61.179458143000005,23.593215872960936
RE_base,2040,punta_arenas_centro,base_load,electricity,374089.6276747294,42.5876169939355,61.179458143000005,23.593215872960936
RH_base,2040,punta_arenas_centro,base_load,electricity,374089.6276747294,42.5876169939355,61.179458143000005,23.593215872960936
RT_base,2040,punta_arenas_centro,base_load,electricity,374089.6276747294,42.5876169939355,61.179458143000005,23.593215872960936
BAU_base,2050,punta_arenas_centro,base_load,electricity,454835.0340957163,51.921807545173095,74.57743709350001,28.760005825589843
PtX_base,2050,punta_arenas_centro,base_load,electricity,454835.0340957163,51.921807545173095,74.57743709350001,28.760005825589843
RE_base,2050,punta_arenas_centro,base_load,electricity,454835.0340957163,51.921807545173095,74.57743709350001,28.760005825589843
RH_base,2050,punta_arenas_centro,base_load,electricity,454835.0340957163,51.921807545173095,74.57743709350001,28.760005825589843
RT_base,2050,punta_arenas_centro,base_load,electricity,454835.0340957163,51.921807545173095,74.57743709350001,28.760005825589843
