year,name,bus,carrier,energy_mwh
2040,slack_punta_arenas_1,elec_punta_arenas_1,slack,613.6905868084643
2040,slack_punta_arenas_2,elec_punta_arenas_2,slack,466.78600362033995
2040,wind_punta_arenas_2,elec_punta_arenas_2,wind,196648.98170205695
2040,solar_punta_arenas_2,elec_punta_arenas_2,solar,7570.800922512677
2040,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,75910.31335065233
2040,bess_punta_arenas_2,elec_punta_arenas_2,bess,16646.25939391088
2040,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,976.6499374999997
2040,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,279539.051473313
2040,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,0.0
2040,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,0.0
2040,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2040,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,0.0
2040,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,0.0
2050,slack_punta_arenas_1,elec_punta_arenas_1,slack,8128.345954069557
2050,slack_punta_arenas_2,elec_punta_arenas_2,slack,9441.427391285855
2050,wind_punta_arenas_2,elec_punta_arenas_2,wind,310982.90519798826
2050,solar_punta_arenas_2,elec_punta_arenas_2,solar,12603.618924093873
2050,ocgt_punta_arenas_2,elec_punta_arenas_2,ocgt,0.0
2050,bess_punta_arenas_2,elec_punta_arenas_2,bess,16173.054585369353
2050,link_punta_arenas_1_to_punta_arenas_2,elec_punta_arenas_1,electricity,7775.021381120865
2050,link_punta_arenas_2_to_punta_arenas_1,elec_punta_arenas_2,electricity,278104.5873231102
2050,h2_electrolyzer_punta_arenas_2,elec_punta_arenas_2,electrolyzer,95443.22776697377
2050,h2_fuel_cell_punta_arenas_2,h2_punta_arenas_2,h2_fuel_cell,63259.95363375182
2050,h2_turbine_punta_arenas_2,h2_punta_arenas_2,h2_turbine,0.0
2050,uhs_injection_punta_arenas_2,h2_punta_arenas_2,uhs_injection,66810.25943688185
2050,uhs_withdrawal_punta_arenas_2,uhs_punta_arenas_2,uhs_withdrawal,64550.973095665366
