asset_id,storage,technology,zone,installed_power_mw,p_nom_max_mw,max_hours,capital_cost,marginal_cost,efficiency_store,efficiency_dispatch,standing_loss,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source
bess_2h_mataveri,bess_2h,bess,mataveri,0,10,2,55000,0,0.95,0.95,0.0001,2030,2030,,flexible,TRUE,1,Punta Arenas planning assumption scaled with a non-binding Rapa Nui upper bound
bess_4h_mataveri,bess_4h,bess,mataveri,0,10,4,75000,0,0.95,0.95,0.0001,2030,2030,,flexible,TRUE,1,Punta Arenas planning assumption scaled with a non-binding Rapa Nui upper bound
bess_6h_mataveri,bess_6h,bess,mataveri,0,10,6,95000,0,0.95,0.95,0.0001,2030,2030,,flexible,TRUE,1,Punta Arenas planning assumption scaled with a non-binding Rapa Nui upper bound
bess_8h_mataveri,bess_8h,bess,mataveri,0,10,8,115000,0,0.95,0.95,0.0001,2030,2030,,flexible,TRUE,1,Punta Arenas planning assumption scaled with a non-binding Rapa Nui upper bound
