asset_id,from_zone,to_zone,capacity_mw,loss_fraction,expandable,discrete_expansion,module_capacity_mw,min_modules,max_modules,max_capacity_mw,capital_cost,marginal_cost,p_min_pu,bidirectional,enabled,source
mataveri_hanga_roa_existing,mataveri,hanga_roa,6.16,0.12,FALSE,FALSE,,0,0,6.16,0,0,0,FALSE,TRUE,SASIPA 2025 effective diesel capacity and reported network losses
mataveri_hanga_roa_expansion,mataveri,hanga_roa,0,0.12,TRUE,TRUE,1,0,6,6,80000,0,0,FALSE,TRUE,Planning assumption using the Punta Arenas annualised interlink cost
