asset_id,generator,technology,zone,installed_capacity,capital_cost,marginal_cost,efficiency,p_min_mw,capacity_factor,available_from_year,earliest_commissioning_year,fixed_commissioning_year,commissioning_type,enabled,source_tech_count,source
diesel_mataveri_existing,diesel_existing,diesel,mataveri,6.16,0,,,0,,2025,,2025,fixed,TRUE,7,SASIPA 2025: seven diesel generator sets and 6.160 MW effective capacity
solar_mataveri_existing,solar_existing,solar,mataveri,0.105,0,,,0,,2025,,2025,fixed,TRUE,1,SASIPA 2025: 105 kW renewable capacity at Mataveri
solar_mataveri_candidate,solar_candidate,solar,mataveri,30,,,,0,,2030,2030,,flexible,TRUE,1,Planning upper bound; includes the announced 2.994 MW Mataveri PV plus BESS project
wind_mataveri_candidate,wind_candidate,wind,mataveri,15,,,,0,,2030,2030,,flexible,TRUE,1,Planning upper bound to be tested with the Rapa Nui ERA5 resource profile
